#=====================================================
# File created:        Wed-26-Feb-2025-at-04-22-15AM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.722017
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1584.1454  0.1212 
   00001    0.6956   -2496.0688  0.1622 
   00002    0.6012   -3055.9128  0.1289 
   00003    0.5744   -3421.6971  0.1802 
   00004    0.5537   -3642.1318  0.1791 
   00005    0.5613   -3832.2208  0.1734 
   00006    0.5387   -4075.8799  0.1919 
   00007    0.5212   -4219.2719  0.1438 
   00008    0.4988   -4325.3174  0.1717 
   00009    0.4631   -4422.6459  0.1692 
   00010    0.4813   -4450.4063  0.2057 
   00011    0.4744   -4558.6798  0.1958 
   00012    0.4763   -4618.3026  0.1830 
   00013    0.4637   -4706.6662  0.1801 
   00014    0.4587   -4748.0177  0.1723 
   00015    0.4531   -4799.4388  0.2218 
   00016    0.4525   -4777.3222  0.1814 
   00017    0.4612   -4853.8233  0.2131 
   00018    0.4331   -4870.3873  0.1973 
   00019    0.4512   -4897.6683  0.2357 
   00020    0.4400   -4935.3540  0.1909 
   00021    0.4394   -4964.5896  0.1788 
   00022    0.4394   -4959.2197  0.2149 
   00023    0.4325   -4979.6013  0.2046 
   00024    0.4394   -4998.4800  0.2299 
   00025    0.4306   -5003.2596  0.1852 
   00026    0.4375   -5014.3154  0.1781 
   00027    0.4350   -4999.5185  0.2134 
   00028    0.4400   -5036.2344  0.2267 
   00029    0.4250   -5064.6274  0.1594 
   00030    0.4331   -5040.6432  0.1660 
   00031    0.4450   -5060.2266  0.2278 
   00032    0.4313   -5036.3967  0.1630 
   00033    0.4231   -5069.0176  0.2360 
   00034    0.4537   -5077.3459  0.2491 
   00035    0.4238   -5066.1012  0.1990 
   00036    0.4456   -5062.4013  0.2487 
   00037    0.4519   -5071.4661  0.2250 
   00038    0.4387   -5079.6807  0.1935 
   00039    0.4331   -5063.4058  0.2297 
   00040    0.4350   -5093.3947  0.2354 
   00041    0.4344   -5111.7145  0.1699 
   00042    0.4156   -5144.2811  0.1913 
   00043    0.4425   -5151.7581  0.1589 
   00044    0.4350   -5212.3011  0.1852 
   00045    0.4269   -5190.7831  0.1994 
   00046    0.4238   -5238.7721  0.1860 
   00047    0.4106   -5256.3743  0.1637 
   00048    0.4138   -5283.1198  0.2422 
   00049    0.4506   -5269.8395  0.2374 
   00050    0.4250   -5290.0898  0.2506 
   00051    0.3906   -5289.6815  0.2231 
   00052    0.4200   -5263.5992  0.2650 
   00053    0.4100   -5262.4905  0.2788 
   00054    0.4088   -5277.7033  0.2113 
   00055    0.4269   -5267.1612  0.2638 
   00056    0.3925   -5287.1197  0.2223 
   00057    0.4125   -5282.0640  0.2368 
   00058    0.4469   -5260.1192  0.2350 
   00059    0.4000   -5266.3744  0.2818 
   00060    0.4275   -5270.0204  0.2667 
   00061    0.4119   -5261.1472  0.2787 
   00062    0.4200   -5298.4298  0.1894 
   00063    0.4206   -5300.1573  0.2530 
   00064    0.4138   -5340.9014  0.2839 
   00065    0.4231   -5346.9790  0.2381 
   00066    0.4356   -5338.9664  0.2803 
   00067    0.4256   -5338.7949  0.2004 
   00068    0.4256   -5335.1262  0.2126 
   00069    0.4306   -5322.6985  0.2216 
   00070    0.4338   -5323.7614  0.2800 
   00071    0.4313   -5311.8545  0.2316 
   00072    0.4375   -5296.9341  0.2532 
   00073    0.4394   -5267.2769  0.1825 
   00074    0.4344   -5327.7931  0.2537 
   00075    0.4419   -5347.0526  0.2289 
   00076    0.4200   -5353.7432  0.2363 
   00077    0.4263   -5306.4670  0.2866 
   00078    0.4044   -5323.6706  0.2747 
   00079    0.4100   -5361.1972  0.2085 
   00080    0.4156   -5353.9231  0.1211 
   00081    0.4269   -5335.2824  0.2271 
   00082    0.4356   -5345.9205  0.2257 
   00083    0.4150   -5365.7019  0.3239 
   00084    0.4081   -5359.0565  0.2516 
   00085    0.4062   -5357.8396  0.2481 
   00086    0.4363   -5326.5355  0.2519 
   00087    0.4163   -5322.1313  0.1992 
   00088    0.4225   -5358.1225  0.2792 
   00089    0.3987   -5353.7214  0.3209 
   00090    0.4100   -5362.8071  0.2682 
   00091    0.3944   -5401.7048  0.2863 
   00092    0.3831   -5396.9449  0.2884 
   00093    0.4012   -5370.5318  0.2848 
   00094    0.4156   -5365.8107  0.2651 
   00095    0.4387   -5296.7221  0.2673 
   00096    0.4269   -5306.5440  0.2771 
   00097    0.4313   -5336.9344  0.2585 
   00098    0.4125   -5318.9348  0.3312 
   00099    0.4006   -5364.6898  0.3078 
   00100    0.4244   -5375.2681  0.2340 
   00101    0.4194   -5370.9224  0.2470 
   00102    0.4113   -5354.5843  0.2875 
   00103    0.3981   -5363.0854  0.2818 
   00104    0.4169   -5371.1831  0.2669 
   00105    0.4144   -5390.3091  0.3022 
   00106    0.4163   -5346.0757  0.2412 
   00107    0.4206   -5327.0856  0.2872 
   00108    0.4200   -5348.6762  0.2257 
   00109    0.4219   -5358.6891  0.2761 
   00110    0.4088   -5367.8069  0.2736 
   00111    0.4169   -5358.6990  0.2498 
   00112    0.4056   -5359.3234  0.2838 
   00113    0.4069   -5387.7387  0.2883 
   00114    0.4094   -5390.2477  0.3257 
   00115    0.4019   -5377.3129  0.2585 
   00116    0.4075   -5388.2169  0.2958 
   00117    0.4081   -5374.8857  0.3298 
   00118    0.4075   -5381.3293  0.2959 
   00119    0.3900   -5397.3203  0.3138 
   00120    0.4213   -5400.4687  0.2299 
   00121    0.4012   -5386.1933  0.3425 
   00122    0.4437   -5384.7863  0.2950 
   00123    0.4100   -5407.6676  0.3207 
   00124    0.4244   -5417.1312  0.2348 
   00125    0.4188   -5382.0963  0.3075 
   00126    0.4225   -5381.3742  0.2877 
   00127    0.4363   -5368.3646  0.2767 
   00128    0.4175   -5379.1466  0.2938 
   00129    0.3956   -5403.4829  0.2632 
   00130    0.4163   -5373.2535  0.2492 
   00131    0.4256   -5351.2741  0.2549 
   00132    0.4213   -5387.8143  0.3427 
   00133    0.3950   -5407.9851  0.3271 
   00134    0.4125   -5454.6144  0.2409 
   00135    0.3881   -5462.4599  0.2645 
   00136    0.4387   -5415.6523  0.2424 
   00137    0.4181   -5414.6122  0.3211 
   00138    0.4100   -5403.7406  0.3268 
   00139    0.4075   -5416.1586  0.3099 
   00140    0.4119   -5435.4401  0.3080 
   00141    0.4169   -5431.9824  0.2050 
   00142    0.3987   -5374.0068  0.3113 
   00143    0.4169   -5384.6212  0.3130 
   00144    0.3987   -5413.6292  0.2549 
   00145    0.4088   -5428.5590  0.2222 
   00146    0.4269   -5420.5685  0.3186 
   00147    0.4031   -5450.5432  0.2688 
   00148    0.4062   -5420.1456  0.2175 
   00149    0.4206   -5412.9059  0.2261 
   00150    0.4156   -5407.2707  0.3104 
   00151    0.4037   -5422.8165  0.2934 
   00152    0.4194   -5426.1294  0.2790 
   00153    0.4144   -5452.9438  0.3604 
   00154    0.3975   -5442.0665  0.3252 
   00155    0.4200   -5385.9075  0.2749 
   00156    0.4269   -5407.2408  0.2640 
   00157    0.4100   -5369.1001  0.2395 
   00158    0.4138   -5396.9479  0.3009 
   00159    0.4181   -5381.1753  0.3396 
   00160    0.3994   -5359.3412  0.2217 
   00161    0.4200   -5359.9430  0.2246 
   00162    0.4338   -5379.5313  0.2759 
   00163    0.4256   -5401.3020  0.1803 
   00164    0.4131   -5412.0592  0.2904 
   00165    0.4150   -5382.0510  0.2683 
   00166    0.4181   -5388.9118  0.2613 
   00167    0.4131   -5414.0074  0.2618 
   00168    0.4100   -5405.3548  0.2407 
   00169    0.4300   -5341.3464  0.3184 
   00170    0.4194   -5415.9137  0.2610 
   00171    0.4075   -5391.4435  0.2686 
   00172    0.4113   -5353.1638  0.1841 
   00173    0.4256   -5378.0075  0.2874 
   00174    0.4075   -5366.4158  0.2247 
   00175    0.4106   -5359.1106  0.3582 
   00176    0.4394   -5391.7721  0.3202 
   00177    0.4150   -5389.7433  0.2482 
   00178    0.4263   -5404.2210  0.1962 
   00179    0.4100   -5370.9667  0.2739 
   00180    0.4062   -5406.6331  0.3386 
   00181    0.4263   -5422.3700  0.3495 
   00182    0.4275   -5451.1361  0.3525 
   00183    0.4150   -5415.5383  0.3727 
   00184    0.4144   -5415.0798  0.3049 
   00185    0.4275   -5425.2581  0.3142 
   00186    0.4125   -5391.0137  0.2969 
   00187    0.4244   -5427.3756  0.3653 
   00188    0.4194   -5418.4801  0.3227 
   00189    0.4350   -5453.8319  0.2946 
   00190    0.4150   -5425.5052  0.3538 
   00191    0.4256   -5392.9381  0.3132 
   00192    0.4169   -5367.6668  0.2851 
   00193    0.4175   -5381.7857  0.2558 
   00194    0.4231   -5402.0290  0.2321 
   00195    0.3987   -5432.4864  0.2507 
   00196    0.4062   -5403.3914  0.2399 
   00197    0.4131   -5439.3874  0.2507 
   00198    0.4206   -5426.6876  0.3710 
   00199    0.4025   -5415.3114  0.3474 
   00200    0.3987   -5397.3845  0.3102 
   00201    0.4213   -5380.0972  0.3762 
   00202    0.4144   -5430.3154  0.3056 
   00203    0.4256   -5425.1291  0.2475 
   00204    0.4012   -5384.7964  0.3276 
   00205    0.4419   -5415.9335  0.2845 
   00206    0.4144   -5404.9874  0.1969 
   00207    0.4012   -5397.5249  0.3334 
   00208    0.4300   -5400.4605  0.2757 
   00209    0.4275   -5366.7133  0.2770 
   00210    0.4213   -5368.5721  0.2276 
   00211    0.4300   -5389.3919  0.3002 
   00212    0.4119   -5403.0143  0.3080 
   00213    0.4106   -5421.5415  0.3734 
   00214    0.4306   -5406.0577  0.3302 
   00215    0.4125   -5431.2202  0.2756 
   00216    0.4094   -5436.0303  0.2506 
   00217    0.4037   -5423.5793  0.3160 
   00218    0.4125   -5466.0046  0.3290 
   00219    0.3844   -5486.3330  0.3700 
   00220    0.4031   -5476.8898  0.3748 
   00221    0.4031   -5436.9395  0.3074 
   00222    0.4012   -5424.0140  0.2812 
   00223    0.4012   -5436.0707  0.2613 
   00224    0.3837   -5434.3377  0.3217 
   00225    0.4088   -5445.2048  0.2716 
   00226    0.4088   -5439.1653  0.2994 
   00227    0.4188   -5449.5741  0.3402 
   00228    0.4275   -5432.2983  0.2473 
   00229    0.4025   -5429.4015  0.2141 
   00230    0.4150   -5440.6061  0.2538 
   00231    0.3987   -5438.7194  0.3803 
   00232    0.4338   -5426.1747  0.2950 
   00233    0.4037   -5418.9085  0.3269 
   00234    0.4081   -5442.1361  0.3711 
   00235    0.4131   -5464.5626  0.3729 
   00236    0.3969   -5426.9490  0.3733 
   00237    0.4169   -5443.2311  0.3419 
   00238    0.4125   -5465.1902  0.3629 
   00239    0.3994   -5446.3701  0.3774 
   00240    0.4050   -5426.8331  0.3496 
   00241    0.4169   -5425.9845  0.3500 
   00242    0.4163   -5470.4438  0.3791 
   00243    0.4175   -5462.8250  0.3268 
   00244    0.4056   -5454.7528  0.2915 
   00245    0.4169   -5495.3128  0.3910 
   00246    0.3937   -5487.9551  0.3985 
   00247    0.4031   -5466.8081  0.3188 
   00248    0.4206   -5510.5051  0.3625 
   00249    0.3950   -5488.9612  0.2267 
   00250    0.4000   -5483.5232  0.3601 
   00251    0.4144   -5494.2421  0.2745 
   00252    0.4062   -5478.8651  0.2761 
   00253    0.3987   -5464.2341  0.2329 
   00254    0.3981   -5448.6113  0.3889 
   00255    0.4169   -5410.1785  0.2478 
   00256    0.4275   -5448.7422  0.3771 
   00257    0.4138   -5441.7819  0.3791 
   00258    0.4306   -5466.5400  0.3848 
   00259    0.4163   -5456.0273  0.2822 
   00260    0.4019   -5420.9284  0.3727 
   00261    0.4044   -5426.4502  0.3703 
   00262    0.4025   -5445.0593  0.3890 
   00263    0.4050   -5452.2255  0.4739 
   00264    0.4106   -5445.3814  0.3846 
   00265    0.4044   -5465.8965  0.4035 
   00266    0.4188   -5467.4431  0.3743 
   00267    0.3762   -5449.2543  0.2811 
   00268    0.4175   -5493.2472  0.3612 
   00269    0.4088   -5479.9116  0.3823 
   00270    0.4206   -5467.2502  0.2474 
   00271    0.3856   -5487.3692  0.4131 
   00272    0.4194   -5470.4510  0.3764 
   00273    0.4225   -5443.6177  0.3635 
   00274    0.4294   -5451.6185  0.3365 
   00275    0.4081   -5489.7528  0.3979 
   00276    0.4175   -5490.3607  0.3951 
   00277    0.4131   -5498.3679  0.3383 
   00278    0.4062   -5494.1773  0.2401 
   00279    0.4025   -5507.7893  0.3614 
   00280    0.3994   -5507.6631  0.4211 
   00281    0.4119   -5453.1691  0.3489 
   00282    0.4194   -5410.4130  0.4090 
   00283    0.4281   -5409.2297  0.3080 
   00284    0.4163   -5414.3971  0.4246 
   00285    0.4375   -5439.7947  0.3574 
