#=====================================================
# File created:        Wed-26-Feb-2025-at-04-21-43AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.837670
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.3462  0.1892 
   00001    0.6900    -642.4999  0.1340 
   00002    0.5875    -756.4594  0.1479 
   00003    0.5925    -842.0495  0.0947 
   00004    0.5225    -921.7783  0.2117 
   00005    0.5175    -940.8723  0.2398 
   00006    0.5275   -1004.9327  0.2027 
   00007    0.5350   -1066.0122  0.2070 
   00008    0.5000   -1091.9494  0.2397 
   00009    0.4800   -1094.4048  0.1827 
   00010    0.4725   -1104.3948  0.1642 
   00011    0.4925   -1178.0295  0.1267 
   00012    0.4450   -1195.9332  0.1375 
   00013    0.4350   -1210.6803  0.2635 
   00014    0.4550   -1240.5377  0.2412 
   00015    0.4325   -1243.6407  0.2014 
   00016    0.4025   -1258.9266  0.2048 
   00017    0.4425   -1270.8363  0.2137 
   00018    0.4225   -1266.5893  0.1616 
   00019    0.4700   -1245.8883  0.1759 
   00020    0.4600   -1248.1729  0.1908 
   00021    0.4525   -1258.6065  0.1261 
   00022    0.4250   -1262.3006  0.1787 
   00023    0.4500   -1264.2765  0.1578 
   00024    0.4350   -1259.6059  0.1797 
   00025    0.4600   -1267.7121  0.2921 
   00026    0.4300   -1281.1781  0.1296 
   00027    0.4400   -1304.5005  0.1903 
   00028    0.4425   -1303.9944  0.0633 
   00029    0.3800   -1306.6512  0.2574 
   00030    0.3900   -1295.3585  0.2377 
   00031    0.4275   -1293.0917  0.1326 
   00032    0.4400   -1314.1207  0.1970 
   00033    0.4325   -1309.7055  0.2460 
   00034    0.4400   -1306.9080  0.2676 
   00035    0.4325   -1281.6515  0.2345 
   00036    0.4575   -1298.3989  0.2323 
   00037    0.4350   -1312.4812  0.1628 
   00038    0.3900   -1320.8246  0.2991 
   00039    0.3875   -1318.5087  0.1792 
   00040    0.4750   -1330.7765  0.2192 
   00041    0.4400   -1314.3510  0.2231 
   00042    0.4375   -1308.4950  0.2637 
   00043    0.4350   -1321.1174  0.2233 
   00044    0.4025   -1325.4685  0.2337 
   00045    0.4000   -1345.0960  0.3010 
   00046    0.4175   -1312.1439  0.1738 
   00047    0.4350   -1330.9916  0.3376 
   00048    0.3975   -1341.4515  0.2928 
   00049    0.3925   -1332.5576  0.2982 
   00050    0.3975   -1329.1047  0.2700 
   00051    0.4225   -1316.4134  0.2645 
