LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.015    0.008 __init__.py:326(__getattr__)
        1    0.000    0.000    0.015    0.015 multiarray.py:1(<module>)
      456    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
172670/171594    0.014    0.000    0.015    0.000 {built-in method builtins.len}
    10244    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.014    0.014 overrides.py:1(<module>)
        2    0.000    0.000    0.014    0.007 core.py:198(read_style_directory)
    98582    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
       52    0.000    0.000    0.014    0.000 __init__.py:226(compile)
     2004    0.014    0.000    0.014    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6868    0.007    0.000    0.013    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.013    0.013 offsetbox.py:1(<module>)
    69101    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
    72532    0.012    0.000    0.013    0.000 {built-in method builtins.getattr}
      200    0.000    0.000    0.013    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.013    0.013 Image.py:1(<module>)
      501    0.003    0.000    0.012    0.000 fromnumeric.py:2349(sum)
      456    0.001    0.000    0.012    0.000 artist.py:1530(number_of_parameters)
  114/109    0.000    0.000    0.012    0.000 typing.py:515(__getitem__)
      109    0.001    0.000    0.012    0.000 typing.py:694(Union)
    89408    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 polar.py:1(<module>)
      206    0.000    0.000    0.011    0.000 _compiler.py:578(_code)
        1    0.000    0.000    0.011    0.011 lines.py:1(<module>)
      670    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.011    0.011 _dtype_like.py:1(<module>)
    43/40    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
    43/40    0.004    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
      286    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
    63452    0.010    0.000    0.010    0.000 {built-in method builtins.min}
      236    0.001    0.000    0.010    0.000 typing.py:1269(__init__)
      984    0.000    0.000    0.010    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.010    0.010 image.py:1(<module>)
        1    0.000    0.000    0.010    0.010 LebwohlLasher.py:33(initdat)
      100    0.001    0.000    0.009    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.009    0.009 LebwohlLasher.py:94(savedat)
      501    0.002    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
16511/16477    0.006    0.000    0.009    0.000 {built-in method builtins.hasattr}
       58    0.000    0.000    0.009    0.000 typing.py:1288(__or__)
      426    0.000    0.000    0.009    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.009    0.009 category.py:1(<module>)
16309/16302    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
