LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2766(NavigationToolbar2)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
       21    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
       85    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
      130    0.000    0.000    0.000    0.000 inspect.py:1806(_check_class)
      501    0.000    0.000    0.000    0.000 _linalg.py:192(_assert_stacked_2d)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
       38    0.000    0.000    0.000    0.000 rcsetup.py:759(<genexpr>)
        5    0.000    0.000    0.000    0.000 typing.py:747(Optional)
        7    0.000    0.000    0.000    0.000 typing.py:1575(__getitem__)
      657    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       21    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      649    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
       52    0.000    0.000    0.000    0.000 core.py:928(__init__)
       43    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
       32    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      184    0.000    0.000    0.000    0.000 colors.py:814(__copy__)
       48    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
       19    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 __init__.py:579(get_cachedir)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       90    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
     2004    0.000    0.000    0.000    0.000 numeric.py:1181(_roll_dispatcher)
      670    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
      345    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
      676    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
       81    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
  306/282    0.000    0.000    0.000    0.000 results.py:176(__init__)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
       12    0.000    0.000    0.000    0.000 typing.py:1995(__init_subclass__)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       11    0.000    0.000    0.000    0.000 core.py:1730(__call__)
        6    0.000    0.000    0.000    0.000 typing.py:1476(__getitem__)
       44    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      135    0.000    0.000    0.000    0.000 core.py:2009(__eq__)
       78    0.000    0.000    0.000    0.000 core.py:4167(<genexpr>)
       23    0.000    0.000    0.000    0.000 colors.py:1233(reversed)
     1167    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      501    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:1228(resolve)
       54    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2884(__new__)
      206    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        7    0.000    0.000    0.000    0.000 core.py:1478(__radd__)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(comma_separated)
       46    0.000    0.000    0.000    0.000 colors.py:1193(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
      254    0.000    0.000    0.000    0.000 core.py:3859(<genexpr>)
       44    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
      195    0.000    0.000    0.000    0.000 _shape_base_impl.py:629(_column_stack_dispatcher)
        8    0.000    0.000    0.000    0.000 core.py:582(_setResultsName)
        3    0.000    0.000    0.000    0.000 pathlib.py:1197(home)
      589    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      107    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       19    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
     1190    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       46    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      353    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 pathlib.py:81(_make_selector)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      505    0.000    0.000    0.000    0.000 _ufunc_config.py:431(__init__)
       33    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
      347    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
       35    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
       12    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      670    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5297(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
      137    0.000    0.000    0.000    0.000 colors.py:1011(__init__)
      496    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
      412    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
       34    0.000    0.000    0.000    0.000 enum.py:1029(_find_new_)
       44    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       12    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
       24    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        1    0.000    0.000    0.000    0.000 pathlib.py:106(_compile_pattern)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
      186    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
       41    0.000    0.000    0.000    0.000 numeric.py:144(ones)
     1503    0.000    0.000    0.000    0.000 numeric.py:1171(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
      328    0.000    0.000    0.000    0.000 typing.py:1630(__eq__)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        2    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
       80    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
       33    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
       27    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      807    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f8ca40c3b00}
      478    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8722(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:1398(expanduser)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
       33    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        7    0.000    0.000    0.000    0.000 core.py:5977(__add__)
       22    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       65    0.000    0.000    0.000    0.000 results.py:454(__iadd__)
      356    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:423(realpath)
      118    0.000    0.000    0.000    0.000 <string>:2(__init__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      162    0.000    0.000    0.000    0.000 core.py:2436(__new__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      488    0.000    0.000    0.000    0.000 colors.py:357(<genexpr>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:28(Collection)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
       13    0.000    0.000    0.000    0.000 core.py:8727(getdoc)
        6    0.000    0.000    0.000    0.000 enum.py:1545(__or__)
        1    0.000    0.000    0.000    0.000 patches.py:4135(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       12    0.000    0.000    0.000    0.000 typing.py:1870(__init__)
      422    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      565    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      122    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        4    0.000    0.000    0.000    0.000 getlimits.py:86(_str_smallest_subnormal)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
      163    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       54    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
       65    0.000    0.000    0.000    0.000 inspect.py:2150(_signature_is_builtin)
       14    0.000    0.000    0.000    0.000 deprecation.py:185(finalize)
       26    0.000    0.000    0.000    0.000 core.py:955(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:590(get_data_path)
        1    0.000    0.000    0.000    0.000 core.py:6736(__new__)
       77    0.000    0.000    0.000    0.000 numerictypes.py:471(issubdtype)
       50    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
        6    0.000    0.000    0.000    0.000 numeric.py:2706(extend_all)
      790    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
      307    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
       44    0.000    0.000    0.000    0.000 results.py:573(copy)
      148    0.000    0.000    0.000    0.000 inspect.py:1832(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
     1890    0.000    0.000    0.000    0.000 __init__.py:884(<lambda>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        4    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
        4    0.000    0.000    0.000    0.000 colors.py:2611(_make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
      542    0.000    0.000    0.000    0.000 multiarray.py:1101(copyto)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      206    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      107    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
        1    0.000    0.000    0.000    0.000 core.py:2755(MaskedArray)
     1359    0.000    0.000    0.000    0.000 inspect.py:3089(parameters)
        1    0.000    0.000    0.000    0.000 __init__.py:500(_get_xdg_config_dir)
       36    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        1    0.000    0.000    0.000    0.000 patches.py:4476(ConnectionPatch)
        2    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
       28    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:1749(_get_protocol_attrs)
      501    0.000    0.000    0.000    0.000 fromnumeric.py:2344(_sum_dispatcher)
      183    0.000    0.000    0.000    0.000 colors.py:691(__init__)
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 backend_bases.py:1008(TimerBase)
        2    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
       18    0.000    0.000    0.000    0.000 core.py:1031(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:432(_joinrealpath)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1823(_MathStyle)
        8    0.000    0.000    0.000    0.000 pathlib.py:835(stat)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
      229    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
      154    0.000    0.000    0.000    0.000 core.py:787(preParse)
      103    0.000    0.000    0.000    0.000 types.py:192(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
      343    0.000    0.000    0.000    0.000 enum.py:1286(value)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
      479    0.000    0.000    0.000    0.000 enum.py:251(__init__)
      707    0.000    0.000    0.000    0.000 multiarray.py:161(concatenate)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
       25    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       51    0.000    0.000    0.000    0.000 colors.py:403(<genexpr>)
       44    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       27    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 pathlib.py:628(with_name)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 core.py:5183(__init__)
        2    0.000    0.000    0.000    0.000 deprecation.py:314(delete_parameter)
       46    0.000    0.000    0.000    0.000 typing.py:1569(<genexpr>)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:3135(_generateDefaultName)
      561    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       65    0.000    0.000    0.000    0.000 inspect.py:2492(_descriptor_get)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      590    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:383(__init__)
       30    0.000    0.000    0.000    0.000 core.py:692(<genexpr>)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
       50    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
      323    0.000    0.000    0.000    0.000 __init__.py:818(__iter__)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
      501    0.000    0.000    0.000    0.000 fromnumeric.py:2606(_all_dispatcher)
       44    0.000    0.000    0.000    0.000 core.py:4075(<genexpr>)
        1    0.000    0.000    0.000    0.000 testing.py:17(pyparsing_test)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:951(_check_for_existing_members_)
       29    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
       59    0.000    0.000    0.000    0.000 core.py:1915(set_name)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(ParseBaseException)
      229    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        6    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
      501    0.000    0.000    0.000    0.000 multiarray.py:757(dot)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
       98    0.000    0.000    0.000    0.000 rcsetup.py:77(__call__)
      247    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       19    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
       33    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 tokenize.py:445(open)
        1    0.000    0.000    0.000    0.000 Image.py:533(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:510(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1661(FigureCanvasBase)
      501    0.000    0.000    0.000    0.000 numeric.py:986(_tensordot_dispatcher)
      406    0.000    0.000    0.000    0.000 enum.py:814(<genexpr>)
       21    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:1408(_missing_)
       29    0.000    0.000    0.000    0.000 pathlib.py:618(stem)
        2    0.000    0.000    0.000    0.000 core.py:3978(_setResultsName)
       11    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
        1    0.000    0.000    0.000    0.000 axis.py:557(Axis)
        8    0.000    0.000    0.000    0.000 core.py:5041(__init__)
       42    0.000    0.000    0.000    0.000 typing.py:2816(<genexpr>)
       84    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      102    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
      501    0.000    0.000    0.000    0.000 numeric.py:59(_zeros_like_dispatcher)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1180(AnnotationBbox)
       61    0.000    0.000    0.000    0.000 results.py:215(__getitem__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:465(inner)
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
        2    0.000    0.000    0.000    0.000 pathlib.py:164(select_from)
       78    0.000    0.000    0.000    0.000 util.py:112(set_)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       78    0.000    0.000    0.000    0.000 util.py:109(get)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6752(refer_to_array_attribute)
       22    0.000    0.000    0.000    0.000 core.py:1023(reset_cache)
      463    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       37    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 core.py:3841(ParseExpression)
      427    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
        1    0.000    0.000    0.000    0.000 core.py:126(Diagnostics)
       46    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
       23    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
       28    0.000    0.000    0.000    0.000 rcsetup.py:474(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 unicode.py:236(Japanese)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      501    0.000    0.000    0.000    0.000 _linalg.py:495(_unary_dispatcher)
       30    0.000    0.000    0.000    0.000 pathlib.py:583(name)
        1    0.000    0.000    0.000    0.000 core.py:2868(__new__)
        1    0.000    0.000    0.000    0.000 Image.py:145(Transpose)
      234    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 core.py:4610(ParseElementEnhance)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 core.py:5486(Forward)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
        1    0.000    0.000    0.000    0.000 geo.py:15(GeoAxes)
       40    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 patches.py:2745(ConnectionStyle)
      871    0.000    0.000    0.000    0.000 inspect.py:2800(default)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        8    0.000    0.000    0.000    0.000 rcsetup.py:223(_validate_marker)
        1    0.000    0.000    0.000    0.000 deprecation.py:137(finalize)
        1    0.000    0.000    0.000    0.000 transforms.py:208(BboxBase)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
        6    0.000    0.000    0.000    0.000 core.py:5162(__init__)
      219    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
      206    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       33    0.000    0.000    0.000    0.000 results.py:224(__setitem__)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       13    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        1    0.000    0.000    0.000    0.000 socket.py:677(SocketIO)
      154    0.000    0.000    0.000    0.000 numerictypes.py:289(issubclass_)
        4    0.000    0.000    0.000    0.000 inspect.py:3121(__hash__)
        4    0.000    0.000    0.000    0.000 colors.py:2629(Norm)
      397    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
        8    0.000    0.000    0.000    0.000 core.py:4409(_generateDefaultName)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       53    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       32    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        2    0.000    0.000    0.000    0.000 core.py:548(set_results_name)
      133    0.000    0.000    0.000    0.000 core.py:1778(set_whitespace_chars)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       65    0.000    0.000    0.000    0.000 inspect.py:2164(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
        1    0.000    0.000    0.000    0.000 collections.py:1976(EllipseCollection)
        2    0.000    0.000    0.000    0.000 core.py:3039(__array_finalize__)
      222    0.000    0.000    0.000    0.000 patches.py:2346(<genexpr>)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:301(HammerAxes)
      578    0.000    0.000    0.000    0.000 enum.py:1179(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:311(_get_machar)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       54    0.000    0.000    0.000    0.000 core.py:2491(parseImpl)
        3    0.000    0.000    0.000    0.000 colors.py:2045(__init__)
       87    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
       22    0.000    0.000    0.000    0.000 _docstring.py:113(register)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:346(MollweideAxes)
       31    0.000    0.000    0.000    0.000 warnings.py:505(__exit__)
      130    0.000    0.000    0.000    0.000 unicode.py:105(<genexpr>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        1    0.000    0.000    0.000    0.000 art3d.py:480(Patch3D)
        1    0.000    0.000    0.000    0.000 typing.py:738(_make_union)
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 __init__.py:432(_sanity_check)
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 deprecation.py:240(__set_name__)
      175    0.000    0.000    0.000    0.000 helpers.py:214(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:6103(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:2004(Arc)
        1    0.000    0.000    0.000    0.000 geo.py:416(LambertAxes)
        1    0.000    0.000    0.000    0.000 _enums.py:119(CapStyle)
        1    0.000    0.000    0.000    0.000 _trirefine.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
        1    0.000    0.000    0.000    0.000 helpers.py:663(OpAssoc)
        1    0.000    0.000    0.000    0.000 patches.py:2456(Ellipse)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
