#=====================================================
# File created:        Tue-25-Feb-2025-at-06-28-26PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.276647
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2552.4557  0.2607 
   00001    0.6848   -3879.3584  0.2764 
   00002    0.6360   -4708.9567  0.2836 
   00003    0.5748   -5286.4115  0.2836 
   00004    0.5548   -5715.6651  0.2999 
   00005    0.5456   -6111.0760  0.3059 
   00006    0.5044   -6408.9320  0.3116 
   00007    0.5144   -6694.9915  0.3256 
   00008    0.4900   -6947.6418  0.3356 
   00009    0.4916   -7119.0277  0.3382 
   00010    0.4616   -7290.5254  0.3357 
   00011    0.4676   -7348.2758  0.3410 
   00012    0.4584   -7453.3604  0.3451 
   00013    0.4752   -7499.5362  0.3324 
   00014    0.4480   -7572.5442  0.3323 
   00015    0.4448   -7629.5345  0.3379 
   00016    0.4452   -7683.8989  0.3356 
   00017    0.4620   -7729.8551  0.3347 
   00018    0.4416   -7766.9052  0.3297 
   00019    0.4336   -7814.1275  0.3366 
   00020    0.4456   -7800.6179  0.3450 
   00021    0.4332   -7845.3283  0.3454 
   00022    0.4512   -7931.2290  0.3587 
   00023    0.4320   -7923.0297  0.3560 
   00024    0.4360   -7916.2875  0.3501 
   00025    0.4288   -7882.6608  0.3524 
   00026    0.4372   -7888.4135  0.3460 
   00027    0.4316   -7933.3711  0.3425 
   00028    0.4464   -7894.4843  0.3433 
   00029    0.4344   -7950.1577  0.3396 
   00030    0.4320   -7929.8811  0.3371 
   00031    0.4504   -7928.6496  0.3410 
   00032    0.4068   -7979.1432  0.3473 
   00033    0.4132   -7983.2001  0.3499 
   00034    0.4204   -7999.7957  0.3537 
   00035    0.4284   -7998.4247  0.3533 
   00036    0.4456   -7978.6641  0.3509 
   00037    0.4252   -7958.1651  0.3462 
   00038    0.4228   -8011.1164  0.3520 
   00039    0.4356   -8037.8777  0.3582 
   00040    0.4292   -8018.3695  0.3603 
   00041    0.4156   -8061.9475  0.3596 
   00042    0.4192   -8096.9599  0.3718 
   00043    0.4240   -8191.5910  0.3719 
   00044    0.4176   -8122.2982  0.3705 
   00045    0.4236   -8154.8889  0.3743 
   00046    0.4108   -8153.8116  0.3715 
   00047    0.4276   -8197.1241  0.3745 
   00048    0.3980   -8201.4514  0.3839 
   00049    0.4084   -8182.6978  0.3843 
   00050    0.4372   -8183.7050  0.3930 
