#=====================================================
# File created:        Tue-25-Feb-2025-at-09-19-22PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.957442
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3621.6507  0.2574 
   00001    0.7047   -5710.6077  0.2650 
   00002    0.6272   -6912.1702  0.2710 
   00003    0.5764   -7697.2755  0.2793 
   00004    0.5497   -8312.9787  0.2873 
   00005    0.5342   -8738.6560  0.2783 
   00006    0.5139   -9166.3669  0.2812 
   00007    0.5047   -9404.3705  0.2867 
   00008    0.4867   -9727.4818  0.2789 
   00009    0.4842  -10001.8901  0.2767 
   00010    0.4742  -10195.7676  0.2769 
   00011    0.4669  -10317.1431  0.2776 
   00012    0.4636  -10469.0585  0.2766 
   00013    0.4600  -10558.5361  0.2845 
   00014    0.4631  -10710.3095  0.2887 
   00015    0.4469  -10816.0219  0.2919 
   00016    0.4506  -10927.9447  0.2993 
   00017    0.4394  -11016.1848  0.3066 
   00018    0.4542  -11083.9906  0.3134 
   00019    0.4489  -11125.6216  0.3163 
   00020    0.4383  -11214.7105  0.3201 
   00021    0.4306  -11259.6699  0.3213 
   00022    0.4358  -11380.7835  0.3212 
   00023    0.4222  -11412.4045  0.3297 
   00024    0.4306  -11439.6597  0.3290 
   00025    0.4414  -11464.8385  0.3292 
   00026    0.4308  -11567.1024  0.3292 
   00027    0.4350  -11564.2860  0.3295 
   00028    0.4369  -11566.4018  0.3266 
   00029    0.4247  -11677.1255  0.3266 
   00030    0.4281  -11659.6093  0.3240 
   00031    0.4283  -11686.6239  0.3290 
   00032    0.4342  -11725.3228  0.3276 
   00033    0.4089  -11726.0892  0.3233 
   00034    0.4272  -11742.5730  0.3230 
   00035    0.4186  -11701.1657  0.3207 
   00036    0.4222  -11723.0649  0.3219 
   00037    0.4178  -11754.9298  0.3155 
   00038    0.4358  -11799.3599  0.3114 
   00039    0.4078  -11798.7926  0.3113 
   00040    0.4147  -11739.4044  0.3203 
   00041    0.4350  -11724.6500  0.3172 
   00042    0.4158  -11685.4860  0.3162 
   00043    0.4250  -11728.3575  0.3132 
   00044    0.4261  -11773.9479  0.3132 
