#=====================================================
# File created:        Tue-25-Feb-2025-at-08-51-50PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.311458
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -399.8947  0.2876 
   00001    0.7050    -601.8903  0.2811 
   00002    0.5925    -756.5002  0.3242 
   00003    0.5650    -867.5678  0.3354 
   00004    0.5750    -908.0504  0.3354 
   00005    0.5150    -967.7891  0.3524 
   00006    0.5125   -1001.6440  0.3486 
   00007    0.4950   -1016.4237  0.3436 
   00008    0.5050   -1061.2175  0.3613 
   00009    0.5150   -1096.8991  0.3583 
   00010    0.4950   -1145.3709  0.3573 
   00011    0.4825   -1195.4063  0.3659 
   00012    0.4825   -1200.6895  0.3423 
   00013    0.4550   -1224.2519  0.3638 
   00014    0.4525   -1230.6463  0.3522 
   00015    0.4425   -1242.1590  0.3659 
   00016    0.4825   -1242.9211  0.3542 
   00017    0.4525   -1260.8842  0.3768 
   00018    0.4200   -1269.3684  0.3793 
   00019    0.3775   -1257.9511  0.3837 
   00020    0.4250   -1246.2564  0.3924 
   00021    0.4225   -1244.8878  0.3848 
   00022    0.4250   -1253.3079  0.3890 
   00023    0.4575   -1268.9160  0.4002 
   00024    0.4300   -1260.8493  0.3990 
   00025    0.4275   -1274.4458  0.4190 
   00026    0.4275   -1282.2451  0.4142 
   00027    0.4225   -1271.7675  0.4187 
   00028    0.4275   -1264.2403  0.4187 
   00029    0.4225   -1282.6104  0.4016 
   00030    0.4100   -1282.3414  0.4014 
   00031    0.4350   -1278.0168  0.3975 
   00032    0.4325   -1265.4670  0.3942 
   00033    0.3600   -1251.9959  0.4094 
   00034    0.4275   -1243.5710  0.4330 
   00035    0.4400   -1259.7790  0.4230 
   00036    0.4175   -1256.7265  0.4426 
   00037    0.4550   -1262.8001  0.4530 
   00038    0.4550   -1289.5629  0.4532 
   00039    0.3975   -1290.3438  0.4646 
   00040    0.4250   -1305.0044  0.4679 
   00041    0.4400   -1296.3720  0.4684 
   00042    0.4050   -1307.8638  0.4583 
   00043    0.4325   -1319.5980  0.4708 
   00044    0.4225   -1323.5484  0.4836 
   00045    0.3775   -1325.3858  0.5100 
   00046    0.4525   -1330.9780  0.4874 
   00047    0.4100   -1324.2522  0.4892 
   00048    0.4125   -1341.6471  0.4978 
   00049    0.4150   -1357.2892  0.4858 
   00050    0.4175   -1328.1791  0.4705 
   00051    0.4350   -1321.5688  0.4882 
   00052    0.4625   -1313.2251  0.4717 
   00053    0.4000   -1307.3674  0.4648 
   00054    0.4250   -1315.8738  0.4848 
   00055    0.4275   -1312.3923  0.4829 
   00056    0.3675   -1324.2349  0.4803 
   00057    0.4125   -1324.6781  0.4856 
   00058    0.4175   -1316.6632  0.4944 
   00059    0.4050   -1328.6750  0.4965 
   00060    0.4050   -1324.5735  0.4907 
   00061    0.4775   -1325.6765  0.5050 
   00062    0.4250   -1320.3095  0.4908 
   00063    0.4575   -1334.6024  0.4818 
   00064    0.3925   -1339.5712  0.4839 
   00065    0.3975   -1348.5934  0.4980 
   00066    0.4375   -1363.6100  0.4950 
   00067    0.4375   -1359.1276  0.4946 
   00068    0.3900   -1347.6793  0.4896 
   00069    0.4175   -1338.3605  0.4782 
   00070    0.4325   -1337.2137  0.4691 
   00071    0.4175   -1335.8992  0.4656 
   00072    0.4625   -1334.9396  0.4557 
   00073    0.4400   -1335.8750  0.4742 
   00074    0.4400   -1328.3456  0.4933 
   00075    0.4500   -1349.8798  0.5035 
   00076    0.4200   -1342.0218  0.5205 
