#=====================================================
# File created:        Wed-26-Feb-2025-at-03-56-05AM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.155765
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -397.9825  0.2616 
   00001    0.7075    -687.8842  0.2898 
   00002    0.5850    -788.6649  0.2805 
   00003    0.5775    -855.9640  0.3174 
   00004    0.4925    -937.7431  0.3136 
   00005    0.4850    -990.5737  0.3470 
   00006    0.4825   -1053.5447  0.3850 
   00007    0.4825   -1098.6840  0.3785 
   00008    0.4400   -1093.8458  0.3914 
   00009    0.4475   -1111.0144  0.3810 
   00010    0.4025   -1113.3825  0.3933 
   00011    0.4550   -1136.8551  0.4053 
   00012    0.3800   -1154.4463  0.4011 
   00013    0.4550   -1179.8500  0.4002 
   00014    0.4375   -1195.1569  0.4042 
   00015    0.4600   -1209.5219  0.4151 
   00016    0.4325   -1186.6830  0.4175 
   00017    0.4050   -1219.2184  0.4101 
   00018    0.4100   -1238.5114  0.4270 
   00019    0.4050   -1265.8067  0.4245 
   00020    0.3950   -1252.4258  0.4203 
   00021    0.4075   -1236.3715  0.4173 
   00022    0.4050   -1245.5594  0.4265 
   00023    0.4300   -1244.8004  0.4264 
   00024    0.4300   -1268.2784  0.4685 
   00025    0.4325   -1290.4011  0.4783 
   00026    0.4025   -1295.3609  0.4701 
   00027    0.3775   -1294.4040  0.4627 
   00028    0.3875   -1293.1291  0.4694 
   00029    0.3900   -1285.3235  0.4610 
   00030    0.3650   -1262.7706  0.4539 
   00031    0.4175   -1287.0558  0.4505 
   00032    0.4125   -1270.2012  0.4377 
   00033    0.3950   -1270.5185  0.4505 
   00034    0.4050   -1270.1158  0.4648 
   00035    0.4575   -1263.1304  0.4666 
   00036    0.4650   -1270.5198  0.4678 
   00037    0.4400   -1268.0673  0.4726 
   00038    0.4100   -1269.7853  0.4899 
   00039    0.3700   -1259.6844  0.4988 
   00040    0.4425   -1257.2980  0.4951 
   00041    0.4350   -1266.6928  0.5031 
   00042    0.3975   -1268.9075  0.5052 
   00043    0.4100   -1267.9379  0.5171 
   00044    0.4150   -1265.8993  0.5256 
   00045    0.4275   -1272.0519  0.5200 
   00046    0.3975   -1275.5965  0.5219 
   00047    0.3625   -1278.8332  0.5381 
   00048    0.3825   -1289.1254  0.5490 
   00049    0.4600   -1311.0411  0.5640 
   00050    0.4100   -1309.2884  0.5559 
