#=====================================================
# File created:        Wed-26-Feb-2025-at-03-32-35AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.788934
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2467.7891  0.2552 
   00001       nan   -3070.3172  0.2562 
   00002       nan   -3503.3551  0.2569 
   00003       nan   -3662.1589  0.2616 
   00004       nan   -3800.1600  0.2667 
   00005       nan   -3849.0143  0.2703 
   00006       nan   -3984.4564  0.2729 
   00007       nan   -4064.0261  0.2800 
   00008       nan   -4102.8881  0.2809 
   00009       nan   -4193.2078  0.2752 
   00010       nan   -4251.8851  0.2741 
   00011       nan   -4279.1070  0.2739 
   00012       nan   -4315.3421  0.2730 
   00013       nan   -4304.4881  0.2722 
   00014       nan   -4331.3841  0.2740 
   00015       nan   -4323.6330  0.2768 
   00016       nan   -4326.3368  0.2770 
   00017       nan   -4327.8874  0.2790 
   00018       nan   -4351.4173  0.2794 
   00019       nan   -4365.9043  0.2754 
   00020       nan   -4376.7732  0.2830 
   00021       nan   -4370.4319  0.2823 
   00022       nan   -4403.5842  0.2891 
   00023       nan   -4427.7052  0.2909 
   00024       nan   -4465.1693  0.2883 
   00025       nan   -4456.0649  0.2888 
   00026       nan   -4489.1228  0.2884 
   00027       nan   -4482.1886  0.2846 
   00028       nan   -4470.4226  0.2854 
   00029       nan   -4464.8548  0.2834 
   00030       nan   -4463.1197  0.2895 
   00031       nan   -4474.2076  0.2891 
   00032       nan   -4464.9319  0.2894 
   00033       nan   -4504.6186  0.2872 
   00034       nan   -4501.1536  0.2844 
   00035       nan   -4528.0087  0.2825 
   00036       nan   -4522.4389  0.2843 
   00037       nan   -4506.9055  0.2872 
   00038       nan   -4506.4769  0.2860 
   00039       nan   -4522.1207  0.2823 
   00040       nan   -4553.1035  0.2825 
   00041       nan   -4563.8087  0.2837 
   00042       nan   -4554.0174  0.2821 
   00043       nan   -4560.9205  0.2816 
   00044       nan   -4559.6484  0.2790 
   00045       nan   -4549.2243  0.2833 
   00046       nan   -4517.7525  0.2834 
   00047       nan   -4547.4268  0.2844 
   00048       nan   -4537.8559  0.2913 
   00049       nan   -4522.3260  0.2916 
   00050       nan   -4528.4078  0.2947 
