#=====================================================
# File created:        Mon-24-Feb-2025-at-12-41-06AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.614182
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2403.2350  0.2573 
   00001    0.6884   -3676.2520  0.2571 
   00002    0.6216   -4395.2003  0.2580 
   00003    0.5824   -5053.1966  0.2672 
   00004    0.5564   -5495.0544  0.2629 
   00005    0.5476   -5877.0770  0.2661 
   00006    0.5308   -6139.1667  0.2739 
   00007    0.5124   -6386.3290  0.2832 
   00008    0.4972   -6587.9306  0.2869 
   00009    0.5052   -6794.3597  0.2919 
   00010    0.4848   -6938.7549  0.2908 
   00011    0.4796   -6999.7197  0.2902 
   00012    0.4760   -7129.9690  0.2927 
   00013    0.4680   -7195.7862  0.2941 
   00014    0.4432   -7333.4964  0.2991 
   00015    0.4540   -7424.6710  0.2939 
   00016    0.4448   -7457.6434  0.2997 
   00017    0.4420   -7505.6963  0.3074 
   00018    0.4472   -7600.7742  0.3115 
   00019    0.4436   -7688.6505  0.3216 
   00020    0.4344   -7758.7058  0.3283 
   00021    0.4476   -7787.9344  0.3342 
   00022    0.4304   -7790.6003  0.3374 
   00023    0.4328   -7836.8709  0.3442 
   00024    0.4328   -7833.8827  0.3419 
   00025    0.4244   -7857.6225  0.3489 
   00026    0.4304   -7927.9721  0.3500 
   00027    0.4508   -7976.1164  0.3560 
   00028    0.4320   -7983.4886  0.3586 
   00029    0.4420   -7993.3331  0.3574 
   00030    0.4432   -8001.0218  0.3624 
   00031    0.4356   -8001.3305  0.3645 
   00032    0.4180   -7999.3033  0.3671 
   00033    0.4252   -7984.1763  0.3681 
   00034    0.4540   -8044.6578  0.3670 
   00035    0.4356   -8052.9098  0.3651 
   00036    0.4208   -8075.5485  0.3631 
   00037    0.4208   -8074.0898  0.3612 
   00038    0.4388   -8047.3037  0.3547 
   00039    0.4204   -8098.6453  0.3557 
   00040    0.4300   -8112.3106  0.3494 
   00041    0.4256   -8116.5505  0.3488 
   00042    0.4208   -8148.1465  0.3513 
   00043    0.4152   -8135.7610  0.3539 
   00044    0.4216   -8152.1217  0.3567 
   00045    0.4216   -8186.0732  0.3604 
   00046    0.4276   -8148.9337  0.3567 
   00047    0.4384   -8134.4826  0.3631 
   00048    0.4356   -8100.2275  0.3624 
   00049    0.4264   -8137.4684  0.3616 
   00050    0.4392   -8192.8859  0.3577 
