#=====================================================
# File created:        Tue-25-Feb-2025-at-08-50-39PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.194981
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -358.4051  0.2670 
   00001    0.7300    -596.6899  0.3239 
   00002    0.6150    -738.1941  0.3225 
   00003    0.5900    -837.2229  0.3257 
   00004    0.5750    -912.5004  0.3277 
   00005    0.5450    -965.1186  0.3331 
   00006    0.4825   -1011.4250  0.3149 
   00007    0.5100   -1060.0595  0.3094 
   00008    0.5075   -1085.9778  0.3246 
   00009    0.4850   -1115.2046  0.3234 
   00010    0.4650   -1126.5958  0.3487 
   00011    0.4675   -1151.5266  0.3402 
   00012    0.4825   -1153.1759  0.3645 
   00013    0.4325   -1160.4007  0.3716 
   00014    0.4750   -1166.4022  0.3488 
   00015    0.4475   -1167.9878  0.3566 
   00016    0.5025   -1205.8961  0.3556 
   00017    0.4250   -1227.2445  0.3516 
   00018    0.4700   -1222.7576  0.3479 
   00019    0.4450   -1249.2966  0.3637 
   00020    0.4475   -1245.2745  0.3720 
   00021    0.4675   -1230.5249  0.3646 
   00022    0.4200   -1238.1115  0.3507 
   00023    0.4650   -1243.9014  0.3423 
   00024    0.4525   -1248.9334  0.3311 
   00025    0.4125   -1258.0932  0.3334 
   00026    0.4175   -1273.3805  0.3191 
   00027    0.4175   -1267.0437  0.3129 
   00028    0.4450   -1272.5923  0.3286 
   00029    0.4225   -1264.4021  0.3315 
   00030    0.4075   -1289.2412  0.3508 
   00031    0.4575   -1283.0703  0.3324 
   00032    0.4175   -1292.4854  0.3164 
   00033    0.4500   -1304.1425  0.3370 
   00034    0.4500   -1283.8531  0.3342 
   00035    0.4125   -1291.0060  0.3587 
   00036    0.4325   -1284.3792  0.3542 
   00037    0.4125   -1289.9664  0.3448 
   00038    0.4175   -1280.6356  0.3423 
   00039    0.4400   -1270.4869  0.3605 
   00040    0.4275   -1259.2055  0.3553 
   00041    0.4475   -1262.3264  0.3514 
   00042    0.4400   -1292.2838  0.3677 
   00043    0.4325   -1289.2503  0.3635 
   00044    0.4300   -1278.5952  0.3516 
   00045    0.4325   -1297.9935  0.3391 
   00046    0.4175   -1295.9856  0.3170 
   00047    0.4600   -1294.3279  0.3341 
   00048    0.3925   -1284.5131  0.3118 
   00049    0.4125   -1316.9977  0.3130 
   00050    0.4200   -1319.1373  0.3186 
