#=====================================================
# File created:        Wed-26-Feb-2025-at-04-03-22AM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        11.170758
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1692.3561  0.2837 
   00001    0.6994   -2724.4593  0.2872 
   00002    0.5581   -3298.1181  0.3156 
   00003    0.5288   -3706.7643  0.3137 
   00004    0.5150   -3978.4088  0.3227 
   00005    0.4919   -4106.7736  0.2999 
   00006    0.4750   -4262.1899  0.2996 
   00007    0.4450   -4439.6701  0.3017 
   00008    0.4325   -4527.6367  0.3057 
   00009    0.4387   -4587.5160  0.3091 
   00010    0.4175   -4628.2801  0.3003 
   00011    0.4275   -4743.9000  0.3015 
   00012    0.4156   -4794.9048  0.3071 
   00013    0.4225   -4800.6060  0.3202 
   00014    0.4150   -4848.3195  0.3295 
   00015    0.4237   -4851.5541  0.3286 
   00016    0.4125   -4918.4450  0.3297 
   00017    0.4069   -4943.3252  0.3420 
   00018    0.4075   -4950.5338  0.3472 
   00019    0.4337   -4993.7193  0.3467 
   00020    0.4062   -4985.3112  0.3548 
   00021    0.4050   -5024.0719  0.3606 
   00022    0.4287   -4983.5849  0.3579 
   00023    0.4137   -5036.0559  0.3490 
   00024    0.4281   -5062.2346  0.3483 
   00025    0.4144   -5048.1502  0.3515 
   00026    0.3938   -5087.6551  0.3619 
   00027    0.4100   -5108.2080  0.3586 
   00028    0.4031   -5092.4596  0.3564 
   00029    0.4050   -5109.5763  0.3655 
   00030    0.4025   -5119.4290  0.3655 
   00031    0.4038   -5152.6431  0.3691 
   00032    0.4150   -5151.8315  0.3691 
   00033    0.3744   -5177.2613  0.3636 
   00034    0.3919   -5162.1652  0.3696 
   00035    0.4031   -5222.9279  0.3812 
   00036    0.3731   -5242.0739  0.3759 
   00037    0.3919   -5229.3273  0.3829 
   00038    0.3881   -5196.8443  0.3791 
   00039    0.3925   -5203.3308  0.3745 
   00040    0.3919   -5231.8688  0.3825 
   00041    0.4075   -5212.6703  0.3847 
   00042    0.4131   -5269.3590  0.3885 
   00043    0.3856   -5240.0946  0.3818 
   00044    0.3825   -5289.6913  0.3862 
   00045    0.4100   -5237.3996  0.3995 
   00046    0.3950   -5262.2909  0.4014 
   00047    0.3925   -5259.2210  0.3995 
   00048    0.4062   -5252.3778  0.4040 
   00049    0.3969   -5225.8935  0.4043 
   00050    0.3906   -5233.1660  0.4023 
   00051    0.3894   -5277.8229  0.4047 
   00052    0.3869   -5305.8166  0.4118 
   00053    0.3962   -5297.2928  0.4145 
   00054    0.3812   -5306.7729  0.4086 
   00055    0.3925   -5256.2876  0.4007 
   00056    0.4062   -5235.9668  0.3996 
   00057    0.3975   -5225.7662  0.3953 
   00058    0.4069   -5250.6083  0.3955 
   00059    0.4044   -5286.2114  0.4005 
   00060    0.4094   -5260.4582  0.4024 
   00061    0.4000   -5232.9838  0.4071 
   00062    0.4194   -5253.3369  0.4129 
   00063    0.4087   -5230.4122  0.4160 
   00064    0.3962   -5204.1495  0.4193 
   00065    0.3875   -5232.8772  0.4160 
   00066    0.3900   -5258.2547  0.4203 
   00067    0.3862   -5275.5982  0.4203 
   00068    0.3944   -5280.3889  0.4193 
   00069    0.4350   -5253.5021  0.4193 
   00070    0.4137   -5259.2068  0.4285 
   00071    0.3981   -5243.6195  0.4278 
   00072    0.4075   -5275.0096  0.4292 
   00073    0.3925   -5268.6211  0.4304 
   00074    0.4200   -5267.9783  0.4325 
   00075    0.3988   -5289.3368  0.4338 
   00076    0.3925   -5254.5342  0.4315 
   00077    0.3919   -5268.0666  0.4291 
   00078    0.3844   -5255.3803  0.4338 
   00079    0.4244   -5231.6545  0.4371 
   00080    0.4038   -5275.8665  0.4534 
   00081    0.4137   -5291.2968  0.4528 
   00082    0.4012   -5329.2225  0.4555 
   00083    0.3994   -5313.6371  0.4568 
   00084    0.4137   -5287.3822  0.4608 
   00085    0.3762   -5272.7318  0.4664 
   00086    0.4012   -5263.9276  0.4631 
   00087    0.3850   -5303.9282  0.4668 
   00088    0.4056   -5316.7163  0.4711 
   00089    0.4169   -5289.0609  0.4706 
   00090    0.4156   -5301.4705  0.4653 
   00091    0.4169   -5302.9588  0.4637 
   00092    0.4019   -5300.7100  0.4654 
   00093    0.3788   -5312.8715  0.4623 
   00094    0.4081   -5316.5391  0.4605 
   00095    0.4069   -5307.2405  0.4531 
   00096    0.3975   -5292.0206  0.4511 
   00097    0.4137   -5311.6198  0.4443 
   00098    0.3988   -5331.0724  0.4472 
   00099    0.4062   -5325.1807  0.4529 
   00100    0.4056   -5356.9684  0.4539 
   00101    0.4125   -5353.0060  0.4525 
   00102    0.3881   -5337.4501  0.4620 
   00103    0.4019   -5353.5943  0.4619 
   00104    0.4069   -5325.4220  0.4667 
   00105    0.4019   -5356.5372  0.4658 
   00106    0.4087   -5365.8917  0.4669 
   00107    0.3875   -5387.4173  0.4651 
   00108    0.4181   -5378.4351  0.4575 
   00109    0.3956   -5360.8793  0.4640 
   00110    0.3844   -5344.2420  0.4627 
   00111    0.3956   -5349.2907  0.4639 
   00112    0.4275   -5282.1381  0.4604 
   00113    0.3800   -5274.0052  0.4596 
   00114    0.4169   -5304.5652  0.4623 
   00115    0.3838   -5304.2021  0.4584 
   00116    0.3950   -5307.3483  0.4679 
   00117    0.3931   -5318.5720  0.4698 
   00118    0.3869   -5333.9082  0.4704 
   00119    0.3812   -5346.2038  0.4780 
   00120    0.4019   -5322.1342  0.4834 
   00121    0.4050   -5314.2533  0.4855 
   00122    0.3844   -5349.6756  0.4813 
   00123    0.3794   -5316.7298  0.4737 
   00124    0.4025   -5362.8727  0.4670 
   00125    0.3906   -5362.9850  0.4778 
   00126    0.3969   -5374.0158  0.4817 
   00127    0.3888   -5351.6405  0.4811 
   00128    0.3719   -5350.1080  0.4894 
   00129    0.3869   -5351.7327  0.4921 
   00130    0.4113   -5341.7902  0.4931 
   00131    0.3800   -5344.4772  0.4922 
   00132    0.3769   -5338.0466  0.4949 
   00133    0.3981   -5332.7238  0.4948 
   00134    0.3938   -5343.4494  0.4993 
   00135    0.3769   -5341.1501  0.4960 
   00136    0.3875   -5349.9938  0.5038 
   00137    0.3906   -5348.8690  0.5092 
   00138    0.4038   -5344.5926  0.5096 
   00139    0.4225   -5355.5972  0.5115 
   00140    0.3944   -5337.6921  0.5189 
   00141    0.3950   -5352.0226  0.5254 
   00142    0.3738   -5316.2665  0.5294 
   00143    0.4019   -5357.0599  0.5365 
   00144    0.4044   -5345.9384  0.5318 
   00145    0.4069   -5378.6638  0.5283 
   00146    0.3912   -5367.6323  0.5310 
   00147    0.3931   -5375.7491  0.5395 
   00148    0.3912   -5359.7832  0.5323 
   00149    0.3962   -5365.8667  0.5393 
   00150    0.4050   -5381.9867  0.5387 
   00151    0.3906   -5379.7061  0.5448 
   00152    0.3925   -5390.8328  0.5484 
   00153    0.4062   -5412.8263  0.5501 
   00154    0.3838   -5414.3699  0.5531 
   00155    0.4006   -5367.2877  0.5507 
   00156    0.3894   -5364.6715  0.5520 
   00157    0.3938   -5370.4103  0.5559 
   00158    0.3869   -5374.1314  0.5405 
   00159    0.4025   -5367.7521  0.5423 
   00160    0.3969   -5352.4892  0.5477 
   00161    0.4038   -5366.2584  0.5408 
   00162    0.3931   -5345.3298  0.5484 
   00163    0.3712   -5358.9039  0.5511 
   00164    0.3788   -5376.0359  0.5496 
   00165    0.4019   -5390.9112  0.5523 
   00166    0.3981   -5361.1714  0.5633 
   00167    0.4006   -5394.7170  0.5680 
   00168    0.3819   -5396.4686  0.5648 
   00169    0.3856   -5383.9613  0.5589 
   00170    0.3912   -5367.7967  0.5612 
   00171    0.4006   -5342.5773  0.5577 
   00172    0.3881   -5302.0936  0.5654 
   00173    0.4094   -5317.9945  0.5695 
   00174    0.4031   -5327.4171  0.5762 
   00175    0.3812   -5341.7618  0.5722 
   00176    0.3762   -5365.4519  0.5697 
   00177    0.4019   -5343.1690  0.5631 
   00178    0.3938   -5347.9084  0.5607 
   00179    0.4113   -5304.0516  0.5651 
   00180    0.3769   -5275.9398  0.5599 
   00181    0.4031   -5339.3549  0.5581 
   00182    0.3969   -5349.1039  0.5610 
   00183    0.3881   -5346.8927  0.5604 
   00184    0.3869   -5337.9440  0.5553 
   00185    0.3919   -5351.5639  0.5561 
   00186    0.3838   -5337.4617  0.5626 
   00187    0.4169   -5362.2361  0.5670 
   00188    0.3912   -5360.6722  0.5686 
   00189    0.4056   -5341.1691  0.5733 
   00190    0.3750   -5343.8305  0.5750 
   00191    0.3912   -5345.3973  0.5704 
   00192    0.3919   -5374.3235  0.5636 
   00193    0.3569   -5386.9280  0.5649 
   00194    0.3962   -5351.5090  0.5588 
   00195    0.3856   -5357.5155  0.5528 
   00196    0.4237   -5355.3483  0.5551 
   00197    0.3956   -5358.4735  0.5552 
   00198    0.3894   -5362.4280  0.5577 
   00199    0.3812   -5353.1013  0.5550 
   00200    0.4025   -5344.3852  0.5557 
   00201    0.4075   -5336.9600  0.5587 
   00202    0.3838   -5369.9605  0.5534 
   00203    0.4094   -5367.7300  0.5522 
   00204    0.3775   -5358.6497  0.5555 
   00205    0.4031   -5363.6532  0.5680 
   00206    0.3994   -5385.3343  0.5674 
   00207    0.3969   -5366.9074  0.5654 
   00208    0.3844   -5348.1481  0.5630 
   00209    0.3875   -5325.6186  0.5644 
   00210    0.4044   -5314.7831  0.5700 
   00211    0.4213   -5353.5399  0.5769 
   00212    0.3988   -5402.5338  0.5784 
   00213    0.3788   -5361.5302  0.5865 
   00214    0.4006   -5351.5099  0.5836 
   00215    0.4069   -5365.9497  0.5786 
   00216    0.3912   -5342.6354  0.5820 
   00217    0.3944   -5340.7914  0.5770 
   00218    0.3838   -5326.4103  0.5786 
   00219    0.3781   -5346.9177  0.5754 
   00220    0.4125   -5346.7385  0.5687 
   00221    0.3750   -5368.6842  0.5662 
   00222    0.3950   -5372.7449  0.5689 
   00223    0.4012   -5392.5896  0.5712 
   00224    0.4069   -5397.1933  0.5736 
   00225    0.4012   -5409.5634  0.5691 
   00226    0.3988   -5391.0096  0.5706 
   00227    0.3919   -5372.9603  0.5680 
   00228    0.3806   -5402.7611  0.5727 
   00229    0.3756   -5417.5270  0.5757 
   00230    0.3950   -5391.2109  0.5731 
   00231    0.3644   -5349.4384  0.5752 
   00232    0.3919   -5343.2020  0.5874 
   00233    0.3950   -5335.2876  0.5881 
   00234    0.3875   -5343.9213  0.5767 
   00235    0.4050   -5334.5867  0.5725 
   00236    0.3981   -5336.2261  0.5678 
   00237    0.4100   -5309.7277  0.5709 
   00238    0.3981   -5384.1806  0.5637 
   00239    0.3869   -5370.8956  0.5607 
   00240    0.3656   -5387.1137  0.5537 
   00241    0.3875   -5410.7355  0.5580 
   00242    0.3962   -5391.6005  0.5624 
   00243    0.3862   -5392.5081  0.5586 
   00244    0.4125   -5346.2524  0.5491 
   00245    0.3900   -5322.6643  0.5471 
   00246    0.3806   -5301.1105  0.5408 
   00247    0.3812   -5311.5742  0.5391 
   00248    0.3800   -5315.1582  0.5396 
   00249    0.3750   -5355.0074  0.5444 
   00250    0.3769   -5345.3824  0.5484 
   00251    0.3881   -5337.3204  0.5514 
   00252    0.3706   -5291.4743  0.5468 
   00253    0.3988   -5282.6750  0.5528 
   00254    0.3975   -5301.6917  0.5540 
   00255    0.3831   -5288.6968  0.5537 
   00256    0.3906   -5292.3444  0.5501 
   00257    0.3844   -5305.6918  0.5566 
   00258    0.3981   -5333.6966  0.5510 
   00259    0.3950   -5325.5508  0.5483 
   00260    0.3988   -5339.4721  0.5466 
   00261    0.3719   -5309.9936  0.5473 
   00262    0.3769   -5344.5164  0.5504 
   00263    0.3875   -5340.1785  0.5520 
   00264    0.4025   -5359.3896  0.5594 
   00265    0.3912   -5359.9961  0.5716 
   00266    0.3812   -5360.3589  0.5829 
