#=====================================================
# File created:        Wed-26-Feb-2025-at-03-42-13AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.852784
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2473.4051  0.2550 
   00001    0.7012   -4240.9331  0.2651 
   00002    0.5896   -5083.9964  0.2862 
   00003    0.5324   -5636.0988  0.2801 
   00004    0.5136   -6095.6006  0.2826 
   00005    0.4764   -6423.0510  0.2865 
   00006    0.4568   -6671.3152  0.2937 
   00007    0.4664   -6894.7485  0.2918 
   00008    0.4512   -6978.2702  0.2954 
   00009    0.4460   -7141.5087  0.2966 
   00010    0.4312   -7241.7638  0.2968 
   00011    0.4204   -7322.8908  0.3043 
   00012    0.4136   -7388.2289  0.3073 
   00013    0.4172   -7475.7399  0.3103 
   00014    0.4268   -7552.6712  0.3146 
   00015    0.4060   -7614.4403  0.3186 
   00016    0.4296   -7685.7756  0.3120 
   00017    0.4116   -7712.5085  0.3122 
   00018    0.4072   -7790.5050  0.3102 
   00019    0.4228   -7771.1095  0.3082 
   00020    0.3960   -7809.9607  0.3080 
   00021    0.4244   -7830.2826  0.3164 
   00022    0.4140   -7881.2703  0.3187 
   00023    0.4004   -7902.2537  0.3194 
   00024    0.4152   -7944.8232  0.3172 
   00025    0.3928   -7911.8403  0.3188 
   00026    0.4068   -7932.4281  0.3132 
   00027    0.4100   -7962.7761  0.3203 
   00028    0.4016   -7972.0232  0.3135 
   00029    0.4240   -8019.4949  0.3152 
   00030    0.3784   -8018.4295  0.3121 
   00031    0.3876   -7997.7490  0.3073 
   00032    0.3792   -8006.7059  0.3089 
   00033    0.3924   -7971.5638  0.3086 
   00034    0.3984   -8065.1626  0.3122 
   00035    0.4112   -8066.5316  0.3148 
   00036    0.4100   -8099.6762  0.3184 
   00037    0.3784   -8117.3421  0.3209 
   00038    0.3980   -8064.2890  0.3146 
   00039    0.3924   -8051.5227  0.3185 
   00040    0.3912   -8039.3600  0.3149 
   00041    0.3960   -7985.0481  0.3118 
   00042    0.4156   -7985.0765  0.3049 
   00043    0.4140   -8006.3723  0.3088 
   00044    0.3892   -8001.6205  0.3069 
   00045    0.3920   -8057.9940  0.3066 
   00046    0.3944   -8091.4386  0.3075 
   00047    0.3772   -8147.1235  0.3101 
   00048    0.3780   -8135.5890  0.3082 
   00049    0.3940   -8103.1259  0.3107 
   00050    0.3920   -8113.7927  0.3063 
