#=====================================================
# File created:        Mon-24-Feb-2025-at-11-40-25AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        14.988201
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2488.1121  0.2592 
   00001    0.6940   -3806.8797  0.2563 
   00002    0.6232   -4669.7109  0.2597 
   00003    0.5972   -5267.8319  0.2608 
   00004    0.5624   -5774.4647  0.2627 
   00005    0.5444   -6195.9411  0.2616 
   00006    0.5164   -6412.7336  0.2601 
   00007    0.4860   -6609.0799  0.2660 
   00008    0.4932   -6762.8955  0.2655 
   00009    0.4884   -6924.2384  0.2641 
   00010    0.4948   -7036.9999  0.2680 
   00011    0.4836   -7142.5206  0.2682 
   00012    0.4656   -7203.3561  0.2617 
   00013    0.4628   -7294.1225  0.2716 
   00014    0.4616   -7402.2720  0.2759 
   00015    0.4488   -7490.9506  0.2759 
   00016    0.4408   -7544.0078  0.2678 
   00017    0.4632   -7595.6711  0.2803 
   00018    0.4424   -7660.6018  0.2828 
   00019    0.4444   -7664.1157  0.2923 
   00020    0.4668   -7700.2756  0.3041 
   00021    0.4652   -7744.6102  0.3131 
   00022    0.4492   -7788.9576  0.3182 
   00023    0.4064   -7840.6348  0.3204 
   00024    0.4492   -7833.7913  0.3197 
   00025    0.4536   -7847.0813  0.3192 
   00026    0.4416   -7884.4978  0.3291 
   00027    0.4260   -7923.6074  0.3284 
   00028    0.4244   -7933.3979  0.3329 
   00029    0.4344   -7914.5488  0.3311 
   00030    0.4488   -7976.2590  0.3328 
   00031    0.4428   -8008.4106  0.3328 
   00032    0.4136   -8016.4366  0.3303 
   00033    0.4328   -8033.7853  0.3290 
   00034    0.4200   -8041.7270  0.3306 
   00035    0.4040   -8076.1307  0.3351 
   00036    0.4460   -8075.2647  0.3320 
   00037    0.4368   -8073.6402  0.3414 
   00038    0.4192   -8103.9965  0.3331 
   00039    0.4168   -8113.6940  0.3289 
   00040    0.4260   -8121.4122  0.3264 
   00041    0.4228   -8129.4156  0.3229 
   00042    0.4232   -8135.0579  0.3197 
   00043    0.4344   -8147.7105  0.3222 
   00044    0.4288   -8149.9849  0.3339 
   00045    0.4348   -8150.7708  0.3420 
   00046    0.4512   -8177.9620  0.3467 
   00047    0.4352   -8241.8163  0.3464 
   00048    0.4176   -8242.2812  0.3491 
   00049    0.4244   -8267.8034  0.3488 
   00050    0.4448   -8238.3121  0.3506 
   00051    0.4160   -8273.1879  0.3501 
   00052    0.4140   -8283.1165  0.3567 
   00053    0.4144   -8281.8763  0.3563 
   00054    0.4168   -8294.3690  0.3567 
   00055    0.4240   -8315.0700  0.3581 
   00056    0.4296   -8274.8280  0.3499 
   00057    0.4160   -8250.6298  0.3455 
   00058    0.4076   -8282.7706  0.3446 
   00059    0.4280   -8263.2143  0.3359 
   00060    0.4180   -8246.0494  0.3381 
   00061    0.4264   -8238.2879  0.3369 
   00062    0.4348   -8252.2186  0.3461 
   00063    0.4212   -8260.7813  0.3412 
   00064    0.4388   -8279.1436  0.3431 
   00065    0.4200   -8336.0438  0.3476 
   00066    0.4172   -8362.3369  0.3470 
   00067    0.4176   -8326.5090  0.3487 
   00068    0.3992   -8362.8377  0.3515 
   00069    0.3956   -8333.8319  0.3460 
   00070    0.3940   -8337.1849  0.3386 
   00071    0.4084   -8346.3863  0.3358 
   00072    0.4132   -8318.4165  0.3411 
   00073    0.4152   -8298.0558  0.3435 
   00074    0.4184   -8286.4823  0.3414 
   00075    0.4120   -8234.3995  0.3381 
   00076    0.4144   -8249.6895  0.3426 
   00077    0.4420   -8245.3816  0.3450 
   00078    0.4248   -8263.1694  0.3482 
   00079    0.4140   -8317.5716  0.3542 
   00080    0.4064   -8324.3982  0.3579 
   00081    0.4264   -8340.5633  0.3594 
   00082    0.4124   -8324.5843  0.3646 
   00083    0.4132   -8313.5851  0.3614 
   00084    0.4340   -8304.3757  0.3661 
   00085    0.4028   -8330.3663  0.3652 
   00086    0.4168   -8333.2115  0.3732 
   00087    0.4176   -8392.0274  0.3741 
   00088    0.4120   -8353.1159  0.3766 
   00089    0.4080   -8368.5894  0.3797 
   00090    0.4292   -8313.9063  0.3791 
   00091    0.4156   -8314.9286  0.3874 
   00092    0.4232   -8317.4160  0.3909 
   00093    0.4124   -8328.7021  0.3957 
   00094    0.4160   -8322.8412  0.3950 
   00095    0.4388   -8331.7904  0.4024 
   00096    0.4228   -8285.0234  0.3991 
   00097    0.4172   -8320.7610  0.4065 
   00098    0.4248   -8351.7142  0.4055 
   00099    0.4304   -8301.4289  0.4042 
   00100    0.4316   -8327.4203  0.4145 
   00101    0.4196   -8339.9655  0.4194 
   00102    0.4208   -8345.0392  0.4137 
   00103    0.4168   -8388.1799  0.4145 
   00104    0.4332   -8352.0685  0.4196 
   00105    0.4276   -8316.0439  0.4208 
   00106    0.4244   -8390.2495  0.4161 
   00107    0.4116   -8403.0192  0.4259 
   00108    0.4300   -8365.9307  0.4334 
   00109    0.4084   -8368.3287  0.4350 
   00110    0.4296   -8388.4020  0.4356 
   00111    0.4220   -8390.3504  0.4418 
   00112    0.4076   -8390.2852  0.4584 
   00113    0.4048   -8407.6116  0.4618 
   00114    0.4200   -8430.1401  0.4556 
   00115    0.4080   -8416.6488  0.4552 
   00116    0.3920   -8364.7267  0.4565 
   00117    0.4140   -8336.9693  0.4608 
   00118    0.4200   -8383.6117  0.4614 
   00119    0.4004   -8386.2875  0.4647 
   00120    0.4176   -8356.2003  0.4632 
   00121    0.4344   -8359.4164  0.4644 
   00122    0.4140   -8389.2447  0.4681 
   00123    0.4192   -8326.5268  0.4760 
   00124    0.4144   -8331.7084  0.4804 
   00125    0.4280   -8375.1833  0.4854 
   00126    0.4220   -8383.2785  0.4800 
   00127    0.4228   -8441.7019  0.4819 
   00128    0.4284   -8427.9874  0.4877 
   00129    0.4196   -8391.0071  0.4889 
   00130    0.4200   -8380.2152  0.4896 
   00131    0.4272   -8419.0461  0.4850 
   00132    0.4168   -8404.2858  0.4798 
   00133    0.4144   -8391.3823  0.4867 
   00134    0.4384   -8378.1494  0.4866 
   00135    0.4256   -8416.8015  0.4893 
   00136    0.4084   -8401.4830  0.4886 
   00137    0.4080   -8365.6227  0.4916 
   00138    0.4356   -8367.5641  0.4958 
   00139    0.4260   -8387.1448  0.4948 
   00140    0.4228   -8424.2368  0.4995 
   00141    0.4188   -8429.3390  0.4951 
   00142    0.4156   -8372.9776  0.4954 
   00143    0.4200   -8343.5522  0.4904 
   00144    0.4272   -8372.7668  0.4952 
   00145    0.4080   -8421.1915  0.4923 
   00146    0.4008   -8389.3943  0.4872 
   00147    0.4008   -8396.8491  0.4921 
   00148    0.4184   -8374.9568  0.5018 
   00149    0.4108   -8392.5644  0.5045 
   00150    0.4120   -8445.7838  0.5002 
   00151    0.4108   -8426.6821  0.4948 
   00152    0.3928   -8424.0414  0.4965 
   00153    0.4192   -8438.0969  0.4933 
   00154    0.4348   -8396.1248  0.4909 
   00155    0.4052   -8363.1957  0.4874 
   00156    0.4232   -8363.1425  0.4916 
   00157    0.4164   -8404.4219  0.4910 
   00158    0.4172   -8458.0842  0.4978 
   00159    0.4208   -8435.1739  0.4965 
   00160    0.4136   -8435.6562  0.4873 
   00161    0.4040   -8391.9223  0.4855 
   00162    0.4252   -8387.2265  0.4877 
   00163    0.4184   -8370.2886  0.4843 
   00164    0.4252   -8338.8331  0.4880 
   00165    0.4184   -8375.8377  0.4857 
   00166    0.4160   -8359.7347  0.4842 
   00167    0.4256   -8370.9156  0.4852 
   00168    0.4284   -8337.6184  0.4854 
   00169    0.4044   -8363.0596  0.4861 
   00170    0.4064   -8390.3214  0.4838 
   00171    0.4060   -8377.4649  0.4873 
   00172    0.4284   -8405.6882  0.4948 
   00173    0.4120   -8414.5381  0.4860 
   00174    0.3996   -8408.4698  0.4858 
   00175    0.4148   -8401.4654  0.4814 
   00176    0.4188   -8367.8993  0.4792 
   00177    0.4164   -8314.8821  0.4720 
   00178    0.4208   -8380.3299  0.4708 
   00179    0.4092   -8404.2157  0.4748 
   00180    0.4272   -8399.0235  0.4762 
   00181    0.4312   -8371.9209  0.4753 
   00182    0.4056   -8426.1249  0.4787 
   00183    0.4236   -8430.5989  0.4768 
   00184    0.4256   -8437.2253  0.4795 
   00185    0.4068   -8411.1257  0.4748 
   00186    0.4072   -8379.6833  0.4632 
   00187    0.3988   -8384.6136  0.4646 
   00188    0.4132   -8310.7012  0.4569 
   00189    0.4240   -8342.9980  0.4603 
   00190    0.4228   -8343.2163  0.4696 
   00191    0.4324   -8333.8629  0.4704 
   00192    0.4128   -8351.3264  0.4760 
   00193    0.4120   -8354.3349  0.4819 
   00194    0.4348   -8349.9399  0.4812 
   00195    0.4088   -8361.3700  0.4791 
   00196    0.4016   -8412.2546  0.4776 
   00197    0.4004   -8388.8738  0.4803 
   00198    0.4096   -8358.9723  0.4727 
   00199    0.4232   -8384.0818  0.4710 
   00200    0.4132   -8385.6518  0.4690 
   00201    0.4236   -8412.0592  0.4739 
   00202    0.4180   -8422.0133  0.4831 
   00203    0.4104   -8482.9784  0.4850 
   00204    0.4156   -8451.5196  0.4863 
   00205    0.4132   -8431.9849  0.4836 
   00206    0.4116   -8458.2795  0.4898 
   00207    0.3940   -8453.6717  0.4961 
   00208    0.4116   -8456.4346  0.4943 
   00209    0.4236   -8491.6542  0.4984 
   00210    0.4044   -8408.7478  0.4909 
   00211    0.4124   -8406.9267  0.4942 
   00212    0.4008   -8399.0024  0.4970 
   00213    0.4224   -8391.4216  0.5046 
   00214    0.4236   -8397.7262  0.5071 
   00215    0.4284   -8384.9892  0.4998 
   00216    0.4228   -8407.5033  0.5058 
   00217    0.4120   -8454.8168  0.5098 
   00218    0.4296   -8452.6706  0.5150 
   00219    0.4208   -8485.4932  0.5144 
   00220    0.4220   -8461.2809  0.5145 
   00221    0.4016   -8457.5346  0.5124 
   00222    0.4252   -8421.1415  0.5146 
   00223    0.4268   -8403.5231  0.5132 
   00224    0.4196   -8393.7612  0.5148 
   00225    0.4176   -8375.9779  0.5141 
   00226    0.4208   -8464.4655  0.5124 
   00227    0.4204   -8446.7094  0.5181 
   00228    0.4212   -8441.7194  0.5144 
   00229    0.4016   -8453.7738  0.5134 
   00230    0.3960   -8480.2830  0.5089 
   00231    0.4096   -8508.3234  0.5042 
   00232    0.4264   -8487.8161  0.5139 
   00233    0.4096   -8429.1335  0.5126 
   00234    0.4184   -8403.7892  0.5088 
   00235    0.4104   -8437.3376  0.5028 
   00236    0.4152   -8423.4232  0.5084 
   00237    0.4096   -8420.0196  0.5138 
   00238    0.4112   -8445.8668  0.5161 
   00239    0.4200   -8450.1264  0.5186 
   00240    0.4168   -8423.8175  0.5139 
   00241    0.4252   -8395.9320  0.5162 
   00242    0.4084   -8383.9263  0.5185 
   00243    0.4172   -8434.1395  0.5264 
   00244    0.4260   -8412.9470  0.5273 
   00245    0.4288   -8434.8934  0.5256 
   00246    0.4224   -8370.8663  0.5313 
   00247    0.4180   -8393.5409  0.5343 
   00248    0.4164   -8397.2989  0.5307 
   00249    0.4128   -8450.8012  0.5330 
   00250    0.4136   -8406.2822  0.5267 
   00251    0.4188   -8443.8239  0.5346 
   00252    0.4060   -8465.8544  0.5381 
   00253    0.4140   -8485.1397  0.5405 
   00254    0.4164   -8469.0601  0.5368 
   00255    0.4120   -8488.2541  0.5390 
   00256    0.4192   -8531.2543  0.5345 
   00257    0.4052   -8537.9146  0.5346 
   00258    0.4064   -8500.3861  0.5389 
   00259    0.4136   -8502.7655  0.5376 
   00260    0.4144   -8486.5570  0.5401 
   00261    0.4220   -8442.9309  0.5403 
   00262    0.4092   -8438.5854  0.5400 
   00263    0.3944   -8417.6522  0.5400 
   00264    0.4356   -8343.3030  0.5394 
   00265    0.4248   -8341.8054  0.5475 
   00266    0.4248   -8398.4282  0.5546 
   00267    0.4128   -8443.6591  0.5589 
   00268    0.4336   -8429.0162  0.5542 
   00269    0.4164   -8462.9358  0.5545 
   00270    0.4092   -8446.7126  0.5511 
   00271    0.4124   -8424.1347  0.5514 
   00272    0.4156   -8426.3623  0.5590 
   00273    0.4144   -8427.3927  0.5637 
   00274    0.4152   -8420.2385  0.5686 
   00275    0.3940   -8437.3138  0.5680 
   00276    0.4032   -8404.9154  0.5647 
   00277    0.3968   -8406.1170  0.5666 
   00278    0.4108   -8386.4767  0.5642 
   00279    0.4080   -8382.7940  0.5628 
   00280    0.4184   -8392.9184  0.5661 
   00281    0.4092   -8430.7897  0.5782 
   00282    0.4144   -8412.8965  0.5711 
   00283    0.4000   -8460.2055  0.5763 
   00284    0.3988   -8476.3072  0.5803 
   00285    0.4132   -8424.8164  0.5777 
   00286    0.4328   -8420.8575  0.5808 
   00287    0.4136   -8401.9654  0.5810 
   00288    0.4304   -8403.4916  0.5872 
   00289    0.4164   -8390.9352  0.5859 
   00290    0.3904   -8438.7861  0.5820 
   00291    0.4152   -8446.8656  0.5862 
   00292    0.4164   -8455.4049  0.5881 
   00293    0.4184   -8409.8767  0.5857 
   00294    0.4340   -8453.6000  0.5899 
   00295    0.4176   -8432.8225  0.5934 
   00296    0.4068   -8395.0829  0.5907 
   00297    0.4088   -8389.5085  0.5837 
   00298    0.4372   -8374.2399  0.5811 
   00299    0.4032   -8382.8474  0.5866 
   00300    0.4300   -8399.7002  0.5930 
   00301    0.4108   -8373.2475  0.5923 
   00302    0.4248   -8418.2394  0.5878 
   00303    0.4148   -8467.0591  0.5883 
   00304    0.4172   -8442.6592  0.5920 
   00305    0.4148   -8404.2214  0.5892 
   00306    0.4192   -8395.8551  0.5891 
   00307    0.4124   -8391.4859  0.6012 
   00308    0.4244   -8437.2303  0.6051 
   00309    0.4176   -8438.3622  0.6052 
   00310    0.4024   -8457.3735  0.6042 
   00311    0.4044   -8475.0553  0.6003 
   00312    0.4116   -8496.0590  0.6010 
   00313    0.4160   -8518.0209  0.6036 
   00314    0.4112   -8457.2710  0.5973 
   00315    0.4116   -8459.9366  0.5959 
   00316    0.4016   -8418.7371  0.6006 
   00317    0.4244   -8435.7717  0.6089 
   00318    0.4164   -8431.4838  0.6076 
   00319    0.4096   -8429.4093  0.6059 
   00320    0.4128   -8451.5615  0.6095 
   00321    0.4220   -8387.4988  0.6057 
   00322    0.4328   -8419.1721  0.6085 
   00323    0.4032   -8393.7898  0.6093 
   00324    0.4076   -8422.3754  0.6096 
   00325    0.4116   -8458.1470  0.6109 
   00326    0.4328   -8462.0496  0.6077 
   00327    0.4096   -8525.8356  0.6085 
   00328    0.4220   -8496.5553  0.6133 
   00329    0.4188   -8443.1507  0.6198 
   00330    0.4252   -8452.2984  0.6208 
   00331    0.4164   -8436.7387  0.6209 
   00332    0.4120   -8421.9911  0.6259 
   00333    0.4280   -8396.9635  0.6223 
   00334    0.4232   -8342.3836  0.6253 
   00335    0.4144   -8340.7151  0.6155 
   00336    0.4132   -8364.0966  0.6172 
   00337    0.4048   -8405.2180  0.6143 
   00338    0.4200   -8496.9264  0.6112 
   00339    0.4292   -8489.9492  0.6013 
   00340    0.4292   -8465.3166  0.6048 
   00341    0.4160   -8446.6130  0.6000 
   00342    0.4028   -8419.2727  0.5961 
   00343    0.4112   -8456.3505  0.6021 
   00344    0.4020   -8434.9051  0.6043 
   00345    0.4328   -8470.5048  0.6120 
   00346    0.4064   -8489.5398  0.6129 
   00347    0.4232   -8460.4908  0.6125 
   00348    0.4028   -8523.2242  0.6132 
   00349    0.4188   -8555.9755  0.6125 
   00350    0.3988   -8551.4827  0.6022 
   00351    0.4108   -8515.0674  0.6021 
   00352    0.4016   -8467.8391  0.5941 
   00353    0.4128   -8452.8895  0.5941 
   00354    0.4312   -8470.8476  0.5930 
   00355    0.4128   -8485.1466  0.5941 
   00356    0.4068   -8486.3758  0.5927 
   00357    0.4064   -8467.9648  0.5924 
   00358    0.4204   -8475.8242  0.5919 
   00359    0.3936   -8519.3668  0.5915 
   00360    0.4100   -8527.2436  0.5901 
   00361    0.4148   -8538.4814  0.5932 
   00362    0.4292   -8526.3324  0.5946 
   00363    0.3964   -8500.1086  0.5958 
   00364    0.4256   -8479.2118  0.5916 
   00365    0.4308   -8509.3841  0.5992 
   00366    0.4208   -8476.9134  0.5981 
   00367    0.4296   -8521.4915  0.6019 
   00368    0.4156   -8525.4440  0.6063 
   00369    0.4144   -8528.1295  0.6048 
   00370    0.4284   -8487.3418  0.6066 
   00371    0.4124   -8500.6287  0.6040 
   00372    0.4124   -8486.4823  0.6046 
   00373    0.4252   -8506.0572  0.6133 
   00374    0.4012   -8530.5592  0.6146 
   00375    0.4084   -8519.1400  0.6160 
   00376    0.3916   -8479.0950  0.6165 
   00377    0.4340   -8479.8827  0.6190 
   00378    0.4124   -8469.6262  0.6199 
   00379    0.4144   -8447.5738  0.6212 
   00380    0.4216   -8480.4120  0.6280 
   00381    0.4140   -8512.7136  0.6295 
   00382    0.4176   -8542.3753  0.6360 
   00383    0.4108   -8552.9665  0.6396 
   00384    0.4172   -8541.3903  0.6424 
   00385    0.4084   -8528.9716  0.6377 
   00386    0.4172   -8526.4537  0.6376 
   00387    0.4088   -8482.1815  0.6370 
   00388    0.4100   -8459.4688  0.6369 
