#=====================================================
# File created:        Tue-25-Feb-2025-at-09-04-02PM
# Size of lattice:     20x20
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.147860
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.3462  0.2394 
   00001    0.6900    -642.4999  0.1222 
   00002    0.5875    -756.4594  0.1362 
   00003    0.5925    -842.0495  0.0891 
   00004    0.5225    -921.7783  0.1503 
   00005    0.5175    -940.8723  0.1597 
   00006    0.5275   -1004.9327  0.1002 
   00007    0.5350   -1066.0122  0.1832 
   00008    0.5000   -1091.9494  0.1133 
   00009    0.4800   -1094.4048  0.1442 
   00010    0.4725   -1104.3948  0.1679 
   00011    0.4925   -1178.0295  0.1755 
   00012    0.4450   -1195.9332  0.1998 
   00013    0.4350   -1210.6803  0.2310 
   00014    0.4550   -1240.5377  0.2085 
   00015    0.4325   -1243.6407  0.1219 
   00016    0.4025   -1258.9266  0.1224 
   00017    0.4425   -1270.8363  0.1033 
   00018    0.4225   -1266.5893  0.0560 
   00019    0.4700   -1245.8883  0.0942 
   00020    0.4600   -1248.1729  0.1870 
   00021    0.4525   -1258.6065  0.2305 
   00022    0.4250   -1262.3006  0.1021 
   00023    0.4500   -1264.2765  0.1645 
   00024    0.4350   -1259.6059  0.0712 
   00025    0.4600   -1267.7121  0.1344 
   00026    0.4300   -1281.1781  0.0895 
   00027    0.4400   -1304.5005  0.1388 
   00028    0.4425   -1303.9944  0.2030 
   00029    0.3800   -1306.6512  0.2960 
   00030    0.3900   -1295.3585  0.2441 
   00031    0.4275   -1293.0917  0.2596 
   00032    0.4400   -1314.1207  0.2198 
   00033    0.4325   -1309.7055  0.2687 
   00034    0.4400   -1306.9080  0.2679 
   00035    0.4325   -1281.6515  0.2209 
   00036    0.4575   -1298.3989  0.2667 
   00037    0.4350   -1312.4812  0.2216 
   00038    0.3900   -1320.8246  0.2116 
   00039    0.3875   -1318.5087  0.1453 
   00040    0.4750   -1330.7765  0.1361 
   00041    0.4400   -1314.3510  0.2620 
   00042    0.4375   -1308.4950  0.1764 
   00043    0.4350   -1321.1174  0.1381 
   00044    0.4025   -1325.4685  0.0807 
   00045    0.4000   -1345.0960  0.2541 
   00046    0.4175   -1312.1439  0.1543 
   00047    0.4350   -1330.9916  0.1338 
   00048    0.3975   -1341.4515  0.0716 
   00049    0.3925   -1332.5576  0.1607 
   00050    0.3975   -1329.1047  0.2187 
   00051    0.4225   -1316.4134  0.2254 
   00052    0.4450   -1325.7254  0.2026 
   00053    0.4300   -1318.4872  0.2324 
   00054    0.3600   -1327.7503  0.1763 
   00055    0.4100   -1327.6113  0.1607 
   00056    0.3975   -1353.3807  0.2241 
   00057    0.4225   -1343.0104  0.1860 
   00058    0.3925   -1310.6285  0.1763 
   00059    0.4400   -1313.5905  0.2583 
   00060    0.4250   -1327.1026  0.1976 
   00061    0.4425   -1312.6989  0.2247 
   00062    0.3925   -1338.9687  0.1178 
   00063    0.4050   -1355.5410  0.1173 
   00064    0.3700   -1354.9017  0.1780 
