#=====================================================
# File created:        Tue-25-Feb-2025-at-06-28-17PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.220825
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2353.0320  0.2746 
   00001    0.6940   -3744.8335  0.2873 
   00002    0.6484   -4692.5779  0.2943 
   00003    0.5740   -5306.0412  0.2948 
   00004    0.5484   -5793.7067  0.2868 
   00005    0.5352   -6242.0312  0.2866 
   00006    0.4944   -6466.9070  0.2961 
   00007    0.4828   -6612.1818  0.2991 
   00008    0.4932   -6841.0980  0.2901 
   00009    0.4628   -6961.1962  0.2821 
   00010    0.4668   -7077.1221  0.2830 
   00011    0.4624   -7187.9083  0.2838 
   00012    0.4496   -7273.2287  0.2775 
   00013    0.4448   -7306.6801  0.2793 
   00014    0.4620   -7409.5406  0.2871 
   00015    0.4480   -7500.4822  0.2918 
   00016    0.4592   -7514.7219  0.2879 
   00017    0.4364   -7608.6185  0.2917 
   00018    0.4448   -7688.1884  0.2877 
   00019    0.4540   -7717.0786  0.2863 
   00020    0.4340   -7741.6385  0.2884 
   00021    0.4452   -7786.9715  0.2936 
   00022    0.4324   -7813.4751  0.2940 
   00023    0.4224   -7805.5581  0.3046 
   00024    0.4456   -7862.5143  0.3088 
   00025    0.4352   -7845.4420  0.3109 
   00026    0.4488   -7800.0710  0.3091 
   00027    0.4352   -7836.6454  0.3185 
   00028    0.4268   -7871.4791  0.3161 
   00029    0.4312   -7836.8359  0.3201 
   00030    0.4304   -7885.5223  0.3252 
   00031    0.4332   -7877.9516  0.3309 
   00032    0.4492   -7854.0583  0.3365 
   00033    0.4372   -7953.7984  0.3365 
   00034    0.4312   -7994.9799  0.3397 
   00035    0.4300   -8000.0925  0.3342 
   00036    0.4468   -8003.6183  0.3324 
   00037    0.4268   -8020.6917  0.3293 
   00038    0.4508   -8008.1457  0.3312 
   00039    0.4288   -8044.9281  0.3350 
   00040    0.4196   -8100.1691  0.3344 
   00041    0.4060   -8076.5531  0.3378 
   00042    0.4296   -8056.9517  0.3404 
   00043    0.4328   -8037.8374  0.3403 
   00044    0.4268   -8017.2830  0.3393 
   00045    0.4376   -7992.0380  0.3358 
   00046    0.4320   -7997.3241  0.3405 
   00047    0.4476   -7977.6544  0.3287 
   00048    0.4272   -8014.2973  0.3221 
   00049    0.4328   -8032.8428  0.3155 
   00050    0.4400   -8035.7268  0.3123 
