#=====================================================
# File created:        Mon-24-Feb-2025-at-12-27-45AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.667350
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2534.4561  0.2633 
   00001    0.6636   -3649.2010  0.2792 
   00002    0.6124   -4424.1446  0.2710 
   00003    0.5888   -4956.6212  0.2841 
   00004    0.5600   -5479.0804  0.2910 
   00005    0.5372   -5860.5861  0.3020 
   00006    0.5136   -6134.0833  0.3107 
   00007    0.5280   -6287.2912  0.3121 
   00008    0.5304   -6479.1557  0.3245 
   00009    0.4992   -6649.8663  0.3240 
   00010    0.4800   -6815.8681  0.3250 
   00011    0.4912   -6964.7474  0.3391 
   00012    0.4672   -7123.6648  0.3523 
   00013    0.4740   -7319.7690  0.3680 
   00014    0.4536   -7342.0586  0.3757 
   00015    0.4544   -7398.6149  0.3798 
   00016    0.4688   -7403.8600  0.3880 
   00017    0.4644   -7514.5001  0.3899 
   00018    0.4480   -7528.1465  0.3937 
   00019    0.4664   -7610.5442  0.3924 
   00020    0.4536   -7656.5726  0.3917 
   00021    0.4368   -7713.1697  0.4039 
   00022    0.4460   -7726.7348  0.4090 
   00023    0.4328   -7773.2368  0.4029 
   00024    0.4396   -7821.1235  0.4083 
   00025    0.4296   -7870.1849  0.4142 
   00026    0.4332   -7862.8029  0.4179 
   00027    0.4392   -7847.9588  0.4151 
   00028    0.4500   -7874.8290  0.4088 
   00029    0.4492   -7902.8813  0.4121 
   00030    0.4332   -7930.6070  0.4195 
   00031    0.4540   -7929.1944  0.4280 
   00032    0.4476   -7938.0825  0.4346 
   00033    0.4380   -7967.9740  0.4411 
   00034    0.4412   -7951.9204  0.4382 
   00035    0.4152   -7995.5879  0.4517 
   00036    0.4276   -8007.7633  0.4483 
   00037    0.4208   -7995.9941  0.4416 
   00038    0.4284   -8036.3187  0.4374 
   00039    0.4420   -8006.1872  0.4366 
   00040    0.4252   -7998.5249  0.4398 
   00041    0.4112   -7999.6476  0.4425 
   00042    0.4388   -8006.9242  0.4452 
   00043    0.4440   -8046.1013  0.4430 
   00044    0.4132   -8044.0425  0.4503 
   00045    0.4328   -8065.7853  0.4443 
   00046    0.4292   -8087.6577  0.4551 
   00047    0.4308   -8099.5844  0.4539 
   00048    0.4100   -8053.1554  0.4547 
   00049    0.4384   -8080.3669  0.4544 
   00050    0.4048   -8099.2287  0.4478 
