#=====================================================
# File created:        Wed-26-Feb-2025-at-04-16-12AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.333276
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -297.1015  0.2818 
   00001    0.7075    -553.4439  0.3053 
   00002    0.6750    -714.1115  0.3367 
   00003    0.5700    -836.5373  0.3356 
   00004    0.5575    -911.3451  0.3249 
   00005    0.5000    -945.6137  0.3437 
   00006    0.4700    -980.4013  0.3439 
   00007    0.5050   -1050.6313  0.3565 
   00008    0.5050   -1077.4508  0.3680 
   00009    0.4800   -1091.9814  0.3607 
   00010    0.4550   -1133.7523  0.3636 
   00011    0.4650   -1148.7754  0.3445 
   00012    0.4500   -1164.3259  0.3571 
   00013    0.4850   -1199.9492  0.3630 
   00014    0.4575   -1212.0576  0.3646 
   00015    0.4850   -1214.6212  0.3543 
   00016    0.4350   -1277.3552  0.3473 
   00017    0.4500   -1257.6536  0.3637 
   00018    0.4600   -1260.5052  0.3522 
   00019    0.3775   -1274.5087  0.3613 
   00020    0.3700   -1284.8647  0.3622 
   00021    0.4675   -1293.3376  0.3565 
   00022    0.4400   -1299.6277  0.3488 
   00023    0.4100   -1288.2949  0.3777 
   00024    0.4350   -1285.3309  0.3825 
   00025    0.4000   -1286.7859  0.3842 
   00026    0.4075   -1289.8848  0.3765 
   00027    0.4550   -1291.4999  0.3725 
   00028    0.4325   -1302.0127  0.3707 
   00029    0.4150   -1319.2706  0.3807 
   00030    0.4175   -1323.3505  0.3728 
   00031    0.4200   -1318.0012  0.3592 
   00032    0.4300   -1308.6137  0.3593 
   00033    0.4375   -1311.7436  0.3516 
   00034    0.4075   -1310.1102  0.3410 
   00035    0.4400   -1301.0160  0.3496 
   00036    0.4075   -1290.4468  0.3338 
   00037    0.4300   -1299.1449  0.3396 
   00038    0.4450   -1303.8953  0.3339 
   00039    0.4325   -1316.3497  0.3438 
   00040    0.4275   -1312.7770  0.3564 
   00041    0.4700   -1312.4280  0.3614 
   00042    0.4450   -1317.9333  0.3731 
   00043    0.4400   -1327.4346  0.3627 
   00044    0.3950   -1333.3117  0.3621 
   00045    0.3950   -1330.9462  0.3736 
   00046    0.4250   -1328.6185  0.3731 
   00047    0.4200   -1319.9681  0.3772 
   00048    0.4625   -1321.5389  0.3555 
   00049    0.4475   -1318.4783  0.3462 
   00050    0.4075   -1319.9694  0.3595 
   00051    0.4025   -1323.3839  0.3833 
   00052    0.4050   -1321.9487  0.3713 
   00053    0.4350   -1314.9786  0.3718 
   00054    0.4825   -1316.3959  0.3669 
   00055    0.4150   -1327.8359  0.3677 
   00056    0.4050   -1336.6842  0.3862 
   00057    0.3725   -1335.6525  0.3854 
   00058    0.4050   -1314.8054  0.3845 
