#=====================================================
# File created:        Wed-26-Feb-2025-at-03-36-18AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.982361
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2580.1305  0.2740 
   00001    0.6928   -4343.8442  0.2790 
   00002    0.5844   -5217.8378  0.2743 
   00003    0.5432   -5763.8512  0.2826 
   00004    0.4948   -6119.8058  0.2820 
   00005    0.4800   -6371.4903  0.2844 
   00006    0.4664   -6665.4689  0.2999 
   00007    0.4492   -6827.0365  0.3019 
   00008    0.4252   -6999.5811  0.3058 
   00009    0.4416   -7086.5334  0.3097 
   00010    0.4496   -7204.8015  0.3082 
   00011    0.4260   -7308.0674  0.3067 
   00012    0.4156   -7427.9168  0.3086 
   00013    0.4264   -7500.2227  0.3207 
   00014    0.4120   -7563.0241  0.3217 
   00015    0.4028   -7660.9883  0.3243 
   00016    0.3956   -7744.4008  0.3283 
   00017    0.4136   -7771.8656  0.3406 
   00018    0.4032   -7797.0617  0.3387 
   00019    0.3952   -7768.8854  0.3449 
   00020    0.4188   -7766.5629  0.3420 
   00021    0.4072   -7769.9248  0.3479 
   00022    0.4024   -7855.7909  0.3566 
   00023    0.3852   -7889.6244  0.3635 
   00024    0.4012   -7887.3755  0.3686 
   00025    0.4024   -7931.6869  0.3689 
   00026    0.3856   -7977.3670  0.3766 
   00027    0.3988   -7972.0766  0.3742 
   00028    0.3936   -7962.6974  0.3769 
   00029    0.3916   -7996.8077  0.3788 
   00030    0.3844   -8073.0706  0.3813 
   00031    0.3944   -8086.9353  0.3758 
   00032    0.3968   -8043.2087  0.3724 
   00033    0.3816   -8057.1172  0.3779 
   00034    0.3752   -8055.0360  0.3780 
   00035    0.4116   -8065.9495  0.3784 
   00036    0.3696   -8094.5557  0.3721 
   00037    0.4004   -8074.4864  0.3733 
   00038    0.3872   -8061.5260  0.3732 
   00039    0.3964   -8045.6150  0.3690 
   00040    0.3832   -8064.7593  0.3670 
   00041    0.3900   -8025.4397  0.3701 
   00042    0.4244   -8087.2157  0.3718 
   00043    0.3976   -8086.2664  0.3751 
   00044    0.3836   -8101.2856  0.3774 
   00045    0.3916   -8098.5114  0.3656 
   00046    0.3976   -8126.0330  0.3625 
   00047    0.3852   -8167.8973  0.3606 
   00048    0.3844   -8219.5498  0.3555 
   00049    0.3728   -8196.4011  0.3537 
   00050    0.3836   -8155.0290  0.3570 
