#=====================================================
# File created:        Wed-26-Feb-2025-at-03-56-54AM
# Size of lattice:     20x20
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.406733
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -351.6530  0.2956 
   00001    0.7450    -648.2878  0.3060 
   00002    0.6200    -804.5968  0.3404 
   00003    0.5500    -894.1455  0.3579 
   00004    0.5400    -954.9580  0.3451 
   00005    0.4725   -1013.2595  0.3456 
   00006    0.4650   -1022.8707  0.3606 
   00007    0.5000   -1028.9202  0.3843 
   00008    0.4625   -1075.6607  0.3755 
   00009    0.4850   -1110.1496  0.3892 
   00010    0.4475   -1135.1505  0.3858 
   00011    0.4500   -1124.8822  0.4131 
   00012    0.4700   -1136.0942  0.4201 
   00013    0.4500   -1158.2940  0.4450 
   00014    0.4250   -1189.8520  0.4490 
   00015    0.3775   -1193.1885  0.4516 
   00016    0.4200   -1188.8066  0.4592 
   00017    0.4100   -1194.4677  0.4842 
   00018    0.4025   -1200.7616  0.4875 
   00019    0.4200   -1229.3324  0.5026 
   00020    0.4100   -1218.2329  0.5185 
   00021    0.3975   -1235.3462  0.5293 
   00022    0.4050   -1238.2763  0.5401 
   00023    0.4275   -1245.6890  0.5578 
   00024    0.4100   -1237.9917  0.5663 
   00025    0.3825   -1255.3624  0.5701 
   00026    0.4125   -1230.6865  0.5781 
   00027    0.4350   -1240.9065  0.6028 
   00028    0.4375   -1241.5339  0.6093 
   00029    0.3800   -1254.9795  0.6175 
   00030    0.3975   -1246.0532  0.6156 
   00031    0.3925   -1268.2818  0.6159 
   00032    0.3850   -1250.0246  0.6135 
   00033    0.4450   -1254.1423  0.6008 
   00034    0.4025   -1254.8346  0.6107 
   00035    0.3825   -1245.0579  0.6248 
   00036    0.4025   -1256.7446  0.6338 
   00037    0.3975   -1273.4342  0.6612 
   00038    0.4125   -1284.3811  0.6736 
   00039    0.3600   -1284.8445  0.6800 
   00040    0.3800   -1284.3605  0.6895 
   00041    0.3925   -1271.3052  0.7048 
   00042    0.4050   -1287.0107  0.7040 
   00043    0.3900   -1300.4886  0.7138 
   00044    0.3850   -1295.4693  0.7009 
   00045    0.4000   -1302.3361  0.7029 
   00046    0.4000   -1295.3150  0.7120 
   00047    0.3975   -1306.6627  0.7114 
   00048    0.3175   -1306.5702  0.7125 
   00049    0.3775   -1316.8715  0.7316 
   00050    0.3750   -1316.7279  0.7305 
   00051    0.3775   -1315.9086  0.7310 
   00052    0.3600   -1314.1980  0.7359 
   00053    0.3925   -1302.8574  0.7251 
   00054    0.3575   -1323.2223  0.7222 
   00055    0.4050   -1327.8365  0.7218 
   00056    0.3400   -1326.1645  0.7166 
   00057    0.3925   -1306.0856  0.7138 
   00058    0.3775   -1289.4924  0.7069 
   00059    0.3875   -1273.8213  0.6917 
   00060    0.3725   -1278.3011  0.6994 
   00061    0.4100   -1267.9945  0.6792 
   00062    0.3950   -1272.5314  0.6766 
   00063    0.4050   -1284.6832  0.6684 
   00064    0.3750   -1290.5283  0.6775 
   00065    0.4200   -1286.6421  0.6871 
   00066    0.3850   -1320.1413  0.6886 
   00067    0.3800   -1343.1594  0.6764 
   00068    0.4150   -1346.0657  0.6788 
   00069    0.4225   -1326.0057  0.6780 
   00070    0.3975   -1318.8028  0.6714 
   00071    0.3325   -1297.3788  0.6599 
   00072    0.4200   -1330.7231  0.6569 
   00073    0.3775   -1335.4425  0.6635 
   00074    0.3650   -1330.7556  0.6490 
   00075    0.4125   -1330.4116  0.6473 
   00076    0.3875   -1316.3601  0.6463 
   00077    0.3675   -1334.0407  0.6608 
   00078    0.3900   -1344.8055  0.6550 
   00079    0.4075   -1324.1824  0.6565 
   00080    0.3575   -1333.8289  0.6597 
   00081    0.3950   -1332.5389  0.6682 
   00082    0.3900   -1337.4587  0.6642 
   00083    0.3600   -1340.8938  0.6608 
   00084    0.3950   -1342.1856  0.6662 
   00085    0.4000   -1326.4820  0.6619 
   00086    0.4075   -1328.8974  0.6703 
   00087    0.4100   -1306.2047  0.6559 
   00088    0.3900   -1308.5254  0.6622 
   00089    0.3850   -1321.1584  0.6601 
   00090    0.3900   -1325.8236  0.6723 
   00091    0.3875   -1306.6672  0.6744 
   00092    0.3600   -1304.7727  0.6746 
   00093    0.3825   -1305.2445  0.6825 
   00094    0.4175   -1293.5838  0.6934 
   00095    0.3700   -1288.3580  0.6824 
   00096    0.3700   -1276.6046  0.6870 
   00097    0.4000   -1300.5126  0.6989 
   00098    0.3800   -1295.6815  0.6924 
   00099    0.3850   -1303.0117  0.6895 
   00100    0.3975   -1291.5731  0.6920 
   00101    0.3600   -1304.6100  0.6970 
   00102    0.3625   -1293.6138  0.6896 
   00103    0.4075   -1290.5905  0.6884 
   00104    0.3675   -1286.8218  0.6928 
   00105    0.4000   -1305.5488  0.6951 
   00106    0.3900   -1316.8247  0.6977 
   00107    0.3925   -1299.4062  0.7162 
   00108    0.3850   -1309.2267  0.7211 
   00109    0.4075   -1299.4344  0.7102 
   00110    0.3750   -1289.7811  0.7070 
   00111    0.3875   -1282.8085  0.7062 
   00112    0.3875   -1280.8337  0.7021 
   00113    0.3800   -1279.8235  0.6872 
   00114    0.3800   -1279.9570  0.6966 
   00115    0.3550   -1287.9184  0.7056 
   00116    0.3700   -1302.7747  0.7070 
   00117    0.3450   -1316.3885  0.7249 
   00118    0.3725   -1321.7741  0.7211 
   00119    0.3825   -1281.0771  0.7116 
   00120    0.3625   -1281.4127  0.7232 
   00121    0.3900   -1294.6501  0.7285 
   00122    0.4400   -1282.4544  0.7141 
   00123    0.3600   -1285.6760  0.7252 
   00124    0.3925   -1297.1233  0.7315 
   00125    0.4050   -1297.4081  0.7412 
   00126    0.3625   -1297.1182  0.7441 
   00127    0.3975   -1290.9009  0.7457 
   00128    0.3800   -1288.0665  0.7524 
   00129    0.3650   -1286.7191  0.7523 
   00130    0.3700   -1282.5127  0.7375 
   00131    0.3975   -1298.6827  0.7447 
   00132    0.3525   -1281.7451  0.7518 
   00133    0.3750   -1282.7889  0.7415 
   00134    0.3675   -1274.2506  0.7196 
   00135    0.3675   -1286.9558  0.7321 
   00136    0.4000   -1311.7744  0.7392 
   00137    0.3700   -1308.7801  0.7302 
   00138    0.4075   -1324.7801  0.7303 
   00139    0.3850   -1325.6761  0.7162 
   00140    0.3400   -1317.9324  0.7146 
   00141    0.3700   -1304.3377  0.7095 
   00142    0.3300   -1312.3870  0.7208 
   00143    0.4275   -1308.5311  0.7101 
   00144    0.3975   -1309.6287  0.7085 
   00145    0.3725   -1322.9313  0.7171 
   00146    0.3950   -1325.2693  0.7288 
   00147    0.3500   -1341.8724  0.7390 
   00148    0.3475   -1352.3669  0.7423 
   00149    0.3775   -1339.0393  0.7449 
   00150    0.3675   -1330.0487  0.7526 
   00151    0.3650   -1330.1486  0.7654 
   00152    0.3775   -1315.4231  0.7598 
   00153    0.3975   -1332.0520  0.7554 
   00154    0.3475   -1316.7238  0.7548 
   00155    0.3750   -1315.3918  0.7598 
   00156    0.3675   -1313.8564  0.7552 
   00157    0.4250   -1304.6057  0.7601 
   00158    0.4100   -1303.6468  0.7375 
   00159    0.3850   -1306.7676  0.7378 
   00160    0.3775   -1331.9931  0.7609 
   00161    0.3775   -1330.5043  0.7610 
   00162    0.4175   -1329.2408  0.7670 
   00163    0.3625   -1322.2854  0.7546 
   00164    0.3425   -1311.2537  0.7454 
   00165    0.3725   -1299.6508  0.7336 
   00166    0.3750   -1304.7754  0.7321 
   00167    0.3750   -1310.2706  0.7290 
   00168    0.3975   -1306.2927  0.7283 
   00169    0.3500   -1329.2485  0.7277 
   00170    0.3875   -1330.5687  0.7460 
   00171    0.3350   -1342.8383  0.7525 
   00172    0.3900   -1332.4683  0.7578 
   00173    0.3750   -1324.1584  0.7607 
   00174    0.3450   -1323.9548  0.7486 
   00175    0.4300   -1320.1586  0.7495 
   00176    0.4225   -1312.1271  0.7605 
   00177    0.3825   -1312.8085  0.7431 
   00178    0.3575   -1300.4286  0.7477 
   00179    0.3775   -1309.1971  0.7392 
   00180    0.3975   -1316.1118  0.7570 
   00181    0.3825   -1310.9102  0.7624 
   00182    0.3700   -1337.7919  0.7733 
   00183    0.3925   -1327.4115  0.7666 
   00184    0.3900   -1333.3976  0.7624 
   00185    0.4175   -1339.6782  0.7680 
   00186    0.3950   -1341.9926  0.7608 
   00187    0.3650   -1330.2732  0.7720 
   00188    0.3825   -1340.7633  0.7717 
   00189    0.3675   -1358.6868  0.7894 
   00190    0.3425   -1349.9311  0.7928 
   00191    0.3700   -1360.3655  0.8082 
   00192    0.3875   -1340.2104  0.8012 
   00193    0.3650   -1353.9593  0.8065 
   00194    0.3875   -1370.1022  0.7993 
   00195    0.4075   -1339.3663  0.7877 
   00196    0.3825   -1331.2142  0.7876 
   00197    0.3375   -1338.2769  0.7920 
   00198    0.3325   -1330.5144  0.7919 
   00199    0.3700   -1336.1557  0.7853 
   00200    0.4050   -1332.5347  0.7762 
   00201    0.3525   -1342.2159  0.7705 
   00202    0.4325   -1331.4855  0.7671 
   00203    0.3650   -1336.9501  0.7677 
   00204    0.3875   -1339.6079  0.7640 
   00205    0.4150   -1335.7477  0.7603 
   00206    0.3900   -1354.9244  0.7733 
   00207    0.3725   -1337.0085  0.7667 
   00208    0.3575   -1340.2189  0.7758 
   00209    0.3500   -1331.8807  0.7711 
   00210    0.3900   -1319.7157  0.7730 
   00211    0.3550   -1332.4065  0.7725 
   00212    0.4175   -1354.4215  0.7730 
   00213    0.3450   -1337.2296  0.7680 
   00214    0.3750   -1338.2336  0.7623 
   00215    0.3175   -1333.6205  0.7655 
   00216    0.3950   -1343.5735  0.7665 
   00217    0.4000   -1344.9543  0.7616 
   00218    0.3775   -1329.1938  0.7578 
   00219    0.3575   -1329.1181  0.7563 
   00220    0.3825   -1328.9205  0.7572 
   00221    0.4200   -1320.2094  0.7566 
   00222    0.3925   -1326.2842  0.7651 
   00223    0.3550   -1335.6880  0.7620 
   00224    0.3875   -1332.2824  0.7479 
   00225    0.4275   -1325.1130  0.7503 
   00226    0.3175   -1320.6778  0.7449 
   00227    0.3900   -1324.3100  0.7536 
   00228    0.3725   -1323.1522  0.7434 
   00229    0.3825   -1326.4850  0.7382 
   00230    0.3875   -1321.6172  0.7446 
   00231    0.4000   -1332.2807  0.7414 
   00232    0.4050   -1322.8150  0.7299 
   00233    0.3925   -1328.7990  0.7277 
   00234    0.3825   -1320.1945  0.7160 
   00235    0.3475   -1320.0347  0.7014 
   00236    0.3500   -1316.3506  0.7049 
   00237    0.3825   -1321.5119  0.7048 
   00238    0.3750   -1308.6908  0.6836 
   00239    0.3575   -1306.2505  0.6852 
   00240    0.3975   -1311.2206  0.6896 
   00241    0.3475   -1307.6614  0.6883 
   00242    0.3700   -1331.2921  0.6868 
   00243    0.3750   -1317.9932  0.6843 
   00244    0.3300   -1296.1995  0.6754 
   00245    0.3950   -1308.7460  0.6790 
   00246    0.3550   -1303.0347  0.6930 
   00247    0.4000   -1300.6903  0.7068 
   00248    0.3525   -1310.9707  0.7156 
   00249    0.4050   -1305.2507  0.7067 
   00250    0.3525   -1321.4633  0.7188 
   00251    0.3325   -1341.2235  0.7297 
   00252    0.3600   -1330.4838  0.7332 
   00253    0.3450   -1323.2730  0.7389 
   00254    0.3625   -1312.7091  0.7415 
   00255    0.3200   -1323.6823  0.7425 
   00256    0.3625   -1338.6688  0.7571 
   00257    0.3100   -1335.0103  0.7468 
   00258    0.3475   -1359.0974  0.7391 
   00259    0.3700   -1356.0199  0.7430 
   00260    0.3150   -1350.0707  0.7411 
   00261    0.3725   -1356.7579  0.7420 
   00262    0.3875   -1347.6563  0.7251 
   00263    0.3775   -1319.2803  0.7119 
   00264    0.3350   -1324.6803  0.7066 
   00265    0.3600   -1326.7162  0.7158 
   00266    0.3850   -1334.6022  0.7064 
   00267    0.3450   -1327.9093  0.7021 
   00268    0.3700   -1317.2972  0.7074 
   00269    0.3925   -1334.9949  0.7210 
   00270    0.3750   -1354.5137  0.7141 
   00271    0.3450   -1359.4032  0.7015 
   00272    0.4075   -1351.4027  0.7131 
   00273    0.3750   -1335.6048  0.7170 
   00274    0.4025   -1325.0216  0.7253 
   00275    0.3450   -1322.2048  0.7167 
   00276    0.3725   -1329.7226  0.7166 
   00277    0.3750   -1324.8151  0.7257 
   00278    0.3350   -1338.4986  0.7149 
   00279    0.3475   -1326.0761  0.7044 
   00280    0.3400   -1314.6237  0.7006 
   00281    0.3650   -1310.2491  0.6829 
   00282    0.3775   -1305.0396  0.7167 
   00283    0.3050   -1305.7333  0.7095 
   00284    0.3875   -1320.2089  0.7324 
   00285    0.3775   -1320.2992  0.7264 
   00286    0.3525   -1322.6386  0.7355 
   00287    0.3950   -1344.8506  0.7364 
   00288    0.3400   -1339.2428  0.7312 
   00289    0.3675   -1345.0327  0.7389 
   00290    0.3850   -1344.5342  0.7300 
   00291    0.3875   -1346.3121  0.7300 
   00292    0.3550   -1332.2675  0.7272 
   00293    0.3950   -1333.3290  0.7264 
   00294    0.4200   -1331.3917  0.7364 
   00295    0.3675   -1335.4282  0.7396 
   00296    0.3125   -1339.5079  0.7398 
   00297    0.3450   -1354.8516  0.7589 
   00298    0.3775   -1351.1232  0.7695 
   00299    0.3675   -1329.1324  0.7609 
   00300    0.3550   -1348.2012  0.7724 
   00301    0.3700   -1360.8130  0.7775 
   00302    0.3375   -1359.0554  0.7772 
   00303    0.3450   -1345.8770  0.7715 
   00304    0.3275   -1344.5930  0.7545 
   00305    0.3600   -1338.0816  0.7557 
   00306    0.3925   -1330.0060  0.7506 
   00307    0.3625   -1328.3269  0.7498 
   00308    0.3950   -1325.4856  0.7489 
   00309    0.3850   -1322.6464  0.7490 
   00310    0.3525   -1324.8068  0.7479 
   00311    0.3800   -1316.9010  0.7447 
   00312    0.4000   -1315.1276  0.7410 
   00313    0.3950   -1322.9130  0.7423 
   00314    0.4100   -1345.6675  0.7462 
   00315    0.3850   -1340.1678  0.7348 
   00316    0.4200   -1322.2960  0.7302 
   00317    0.3925   -1336.0122  0.7392 
   00318    0.3900   -1356.9695  0.7363 
   00319    0.3525   -1360.6294  0.7335 
   00320    0.3550   -1361.0828  0.7449 
   00321    0.3625   -1357.0693  0.7398 
   00322    0.3650   -1334.5972  0.7343 
   00323    0.3525   -1320.0857  0.7338 
   00324    0.4025   -1337.6896  0.7299 
   00325    0.3725   -1340.5444  0.7194 
   00326    0.3375   -1318.3091  0.7112 
   00327    0.3900   -1331.1081  0.7269 
   00328    0.3925   -1334.5345  0.7169 
   00329    0.4150   -1335.9299  0.7158 
   00330    0.3700   -1322.4758  0.7204 
   00331    0.3500   -1335.7781  0.7296 
   00332    0.3975   -1349.7300  0.7319 
   00333    0.3925   -1359.2800  0.7450 
   00334    0.3850   -1336.5571  0.7583 
   00335    0.3550   -1345.5654  0.7593 
   00336    0.3750   -1333.6592  0.7497 
   00337    0.3400   -1336.2400  0.7512 
   00338    0.3475   -1321.2848  0.7467 
   00339    0.3850   -1310.8476  0.7439 
   00340    0.3575   -1328.1169  0.7357 
   00341    0.3800   -1327.8286  0.7376 
   00342    0.4075   -1325.9004  0.7294 
   00343    0.3825   -1322.1004  0.7143 
   00344    0.3825   -1300.2449  0.7065 
   00345    0.3625   -1286.5544  0.7067 
   00346    0.3950   -1288.9121  0.7226 
   00347    0.4100   -1310.2002  0.7369 
   00348    0.3675   -1297.6039  0.7429 
   00349    0.3500   -1319.9554  0.7536 
   00350    0.3625   -1333.7552  0.7602 
   00351    0.3600   -1330.9424  0.7469 
   00352    0.3925   -1350.5900  0.7449 
   00353    0.3150   -1350.1568  0.7323 
   00354    0.4000   -1348.4167  0.7371 
   00355    0.4025   -1356.5058  0.7383 
   00356    0.3750   -1336.1829  0.7413 
   00357    0.3350   -1323.8600  0.7385 
   00358    0.3450   -1306.3916  0.7312 
   00359    0.4425   -1319.8707  0.7204 
   00360    0.3925   -1323.5676  0.7065 
   00361    0.3725   -1336.0700  0.7031 
   00362    0.3775   -1331.7079  0.7002 
   00363    0.3175   -1330.3744  0.6933 
   00364    0.4175   -1343.9770  0.7021 
   00365    0.3500   -1342.3725  0.7086 
   00366    0.3700   -1332.1906  0.7347 
   00367    0.4100   -1328.5805  0.7402 
   00368    0.3425   -1334.6028  0.7435 
   00369    0.3400   -1338.9586  0.7464 
   00370    0.3575   -1342.5804  0.7401 
   00371    0.3750   -1350.8421  0.7630 
   00372    0.3975   -1372.4701  0.7647 
   00373    0.3975   -1358.1922  0.7683 
   00374    0.3900   -1372.7031  0.7797 
   00375    0.3700   -1352.8215  0.7677 
   00376    0.3875   -1376.1330  0.7711 
   00377    0.3775   -1382.0309  0.7755 
   00378    0.3650   -1364.8809  0.7594 
   00379    0.3425   -1385.1610  0.7700 
   00380    0.3900   -1374.4794  0.7726 
   00381    0.4075   -1355.7548  0.7714 
   00382    0.3650   -1362.7131  0.7637 
   00383    0.3750   -1362.0244  0.7518 
   00384    0.3725   -1352.1278  0.7531 
   00385    0.3600   -1352.2029  0.7497 
   00386    0.3400   -1335.5493  0.7402 
   00387    0.3225   -1341.2613  0.7386 
   00388    0.3500   -1322.9393  0.7456 
   00389    0.3475   -1332.7307  0.7296 
   00390    0.3775   -1344.9329  0.7307 
   00391    0.3675   -1339.8300  0.7453 
   00392    0.3675   -1316.6066  0.7407 
   00393    0.3575   -1326.7434  0.7547 
   00394    0.4275   -1330.2554  0.7530 
   00395    0.3625   -1323.2422  0.7602 
   00396    0.3850   -1330.7443  0.7575 
   00397    0.4075   -1331.2144  0.7689 
   00398    0.3675   -1336.0443  0.7815 
   00399    0.3425   -1340.2857  0.7801 
   00400    0.3625   -1336.2392  0.7758 
   00401    0.3950   -1333.4679  0.7687 
   00402    0.3625   -1332.7977  0.7562 
   00403    0.3575   -1332.3026  0.7622 
   00404    0.3425   -1337.7694  0.7594 
   00405    0.3600   -1323.8488  0.7519 
   00406    0.3675   -1320.0366  0.7530 
   00407    0.3650   -1328.3133  0.7576 
   00408    0.3925   -1336.6508  0.7527 
   00409    0.3800   -1316.7281  0.7509 
   00410    0.3850   -1313.9588  0.7609 
   00411    0.3450   -1337.0475  0.7735 
   00412    0.3925   -1343.5244  0.7776 
   00413    0.3925   -1375.3108  0.7965 
   00414    0.3950   -1374.7714  0.8096 
   00415    0.3525   -1362.8704  0.8006 
   00416    0.3550   -1371.1623  0.8066 
   00417    0.3975   -1355.2208  0.7996 
   00418    0.3600   -1374.2180  0.8030 
   00419    0.3750   -1360.2037  0.8019 
   00420    0.3225   -1369.6879  0.8154 
   00421    0.3600   -1365.2953  0.8157 
   00422    0.3650   -1373.3289  0.8209 
   00423    0.3800   -1395.6223  0.8316 
   00424    0.3625   -1384.3240  0.8366 
   00425    0.3800   -1374.4233  0.8397 
   00426    0.3750   -1377.9445  0.8329 
   00427    0.3700   -1370.3272  0.8255 
   00428    0.3475   -1362.5053  0.8270 
   00429    0.3825   -1362.6535  0.8249 
   00430    0.3850   -1361.0928  0.8217 
   00431    0.3675   -1377.7777  0.8313 
   00432    0.3975   -1387.6623  0.8411 
   00433    0.3875   -1377.2827  0.8307 
   00434    0.3400   -1369.4366  0.8338 
   00435    0.3700   -1340.4707  0.8307 
   00436    0.3750   -1345.7215  0.8249 
   00437    0.3700   -1348.9698  0.8304 
   00438    0.3800   -1352.5276  0.8296 
   00439    0.3675   -1342.8648  0.8184 
   00440    0.3900   -1361.4991  0.8269 
   00441    0.3775   -1348.0428  0.8286 
   00442    0.4025   -1344.4056  0.8287 
   00443    0.3275   -1360.2760  0.8300 
   00444    0.3625   -1357.9283  0.8266 
   00445    0.4000   -1342.6422  0.8359 
   00446    0.3575   -1351.3456  0.8418 
   00447    0.4025   -1338.5668  0.8365 
   00448    0.3800   -1350.4036  0.8340 
   00449    0.3925   -1374.3790  0.8475 
   00450    0.3450   -1366.1060  0.8481 
   00451    0.4000   -1371.2800  0.8523 
   00452    0.3550   -1387.5650  0.8632 
   00453    0.3875   -1386.5396  0.8541 
   00454    0.3525   -1366.2847  0.8505 
   00455    0.3875   -1352.9209  0.8358 
   00456    0.3775   -1350.2149  0.8319 
   00457    0.3650   -1353.7383  0.8371 
   00458    0.3150   -1346.9101  0.8394 
   00459    0.3475   -1345.4580  0.8309 
   00460    0.3625   -1336.3249  0.8250 
   00461    0.3825   -1333.3353  0.8349 
   00462    0.3650   -1320.7987  0.8305 
   00463    0.3825   -1325.2009  0.8329 
   00464    0.3625   -1325.9457  0.8249 
   00465    0.3975   -1335.8301  0.8286 
   00466    0.3700   -1337.4218  0.8344 
   00467    0.3875   -1349.5224  0.8418 
   00468    0.3750   -1357.4510  0.8423 
   00469    0.3800   -1369.1385  0.8412 
   00470    0.4225   -1350.9775  0.8242 
