#=====================================================
# File created:        Wed-26-Feb-2025-at-04-10-23AM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        16.086397
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1614.6145  0.2700 
   00001    0.7025   -2429.8796  0.2736 
   00002    0.6344   -2949.5998  0.2777 
   00003    0.5819   -3276.7302  0.2919 
   00004    0.5706   -3573.4949  0.2969 
   00005    0.5475   -3875.1907  0.3025 
   00006    0.5044   -4088.1850  0.3035 
   00007    0.4963   -4234.0870  0.3108 
   00008    0.4869   -4364.3868  0.3117 
   00009    0.4531   -4414.9159  0.3160 
   00010    0.4731   -4500.6745  0.3223 
   00011    0.4744   -4587.8841  0.3256 
   00012    0.4794   -4618.2877  0.3427 
   00013    0.4587   -4684.5772  0.3526 
   00014    0.4506   -4724.9014  0.3546 
   00015    0.4494   -4728.6277  0.3523 
   00016    0.4700   -4747.1589  0.3635 
   00017    0.4637   -4786.9651  0.3724 
   00018    0.4500   -4817.7609  0.3867 
   00019    0.4556   -4825.2696  0.3893 
   00020    0.4600   -4862.6072  0.3978 
   00021    0.4387   -4906.8004  0.3908 
   00022    0.4356   -4901.4418  0.3920 
   00023    0.4369   -4925.0266  0.3960 
   00024    0.4506   -4964.4685  0.3947 
   00025    0.4344   -4973.4667  0.3946 
   00026    0.4694   -4990.6112  0.4025 
   00027    0.4206   -5029.8715  0.4068 
   00028    0.4444   -5015.0199  0.4071 
   00029    0.4369   -5048.0646  0.4173 
   00030    0.4500   -5045.7061  0.4240 
   00031    0.4525   -5076.7173  0.4306 
   00032    0.4375   -5117.4930  0.4345 
   00033    0.4338   -5170.9026  0.4384 
   00034    0.4275   -5165.1681  0.4499 
   00035    0.4387   -5188.1617  0.4455 
   00036    0.4344   -5187.4338  0.4476 
   00037    0.4338   -5170.0206  0.4456 
   00038    0.4213   -5189.2793  0.4489 
   00039    0.4319   -5180.7482  0.4554 
   00040    0.4281   -5162.8928  0.4515 
   00041    0.4125   -5169.2419  0.4600 
   00042    0.4213   -5227.3744  0.4665 
   00043    0.4437   -5207.7762  0.4661 
   00044    0.4081   -5154.1950  0.4676 
   00045    0.4100   -5214.3408  0.4690 
   00046    0.4256   -5215.0787  0.4710 
   00047    0.4125   -5257.2599  0.4777 
   00048    0.4044   -5255.5619  0.4848 
   00049    0.4313   -5234.4449  0.4796 
   00050    0.4169   -5245.2194  0.4798 
   00051    0.4400   -5262.8823  0.4723 
   00052    0.4263   -5248.3269  0.4718 
   00053    0.4250   -5220.6200  0.4717 
   00054    0.4338   -5229.1410  0.4729 
   00055    0.4188   -5232.1345  0.4778 
   00056    0.4181   -5258.4213  0.4860 
   00057    0.4131   -5325.2579  0.4932 
   00058    0.4062   -5309.8296  0.4987 
   00059    0.4213   -5290.3910  0.4933 
   00060    0.4031   -5282.8217  0.4971 
   00061    0.4225   -5284.1326  0.5015 
   00062    0.4062   -5274.1123  0.5120 
   00063    0.4163   -5291.9195  0.5113 
   00064    0.4175   -5293.3830  0.5162 
   00065    0.4225   -5266.6658  0.4993 
   00066    0.4125   -5263.0921  0.5021 
   00067    0.4200   -5289.8182  0.4895 
   00068    0.4306   -5268.5166  0.4860 
   00069    0.4350   -5248.9187  0.4855 
   00070    0.4156   -5251.5621  0.4895 
   00071    0.4350   -5259.5526  0.4942 
   00072    0.4394   -5267.0728  0.4987 
   00073    0.4263   -5301.4194  0.5002 
   00074    0.4181   -5320.6249  0.4976 
   00075    0.4244   -5335.7765  0.4941 
   00076    0.4269   -5335.1330  0.4916 
   00077    0.4119   -5355.0750  0.4885 
   00078    0.4381   -5355.4154  0.4888 
   00079    0.4412   -5360.2084  0.4855 
   00080    0.4088   -5372.1596  0.4826 
   00081    0.4088   -5363.5553  0.4841 
   00082    0.4019   -5374.4266  0.4772 
   00083    0.4350   -5345.1512  0.4787 
   00084    0.4181   -5345.8626  0.4853 
   00085    0.4113   -5328.7239  0.4963 
   00086    0.4062   -5385.0083  0.5012 
   00087    0.4031   -5372.3390  0.5020 
   00088    0.4069   -5352.7531  0.5091 
   00089    0.4094   -5360.9974  0.5046 
   00090    0.4256   -5374.9780  0.5073 
   00091    0.4288   -5360.9039  0.5102 
   00092    0.4075   -5388.6078  0.5147 
   00093    0.4006   -5354.4347  0.5124 
   00094    0.4188   -5387.3907  0.5171 
   00095    0.4244   -5399.7570  0.5167 
   00096    0.4163   -5338.3892  0.5154 
   00097    0.4200   -5328.4167  0.5105 
   00098    0.4400   -5322.5665  0.5137 
   00099    0.4113   -5326.5305  0.5198 
   00100    0.4044   -5303.3051  0.5142 
   00101    0.4225   -5318.8438  0.5165 
   00102    0.4156   -5358.1804  0.5212 
   00103    0.4163   -5357.3882  0.5316 
   00104    0.4381   -5366.7658  0.5219 
   00105    0.4150   -5341.1003  0.5299 
   00106    0.4019   -5338.6548  0.5341 
   00107    0.4037   -5335.9344  0.5265 
   00108    0.4062   -5366.8184  0.5322 
   00109    0.4119   -5399.9005  0.5303 
   00110    0.4088   -5384.7472  0.5286 
   00111    0.4344   -5354.5041  0.5230 
   00112    0.4194   -5361.2374  0.5159 
   00113    0.4138   -5373.1022  0.5135 
   00114    0.4131   -5382.1136  0.5108 
   00115    0.4031   -5407.6590  0.5157 
   00116    0.4350   -5403.2325  0.5086 
   00117    0.4125   -5430.5877  0.5179 
   00118    0.4094   -5427.8446  0.5185 
   00119    0.4081   -5389.9100  0.5154 
   00120    0.4225   -5401.9873  0.5247 
   00121    0.4294   -5395.6203  0.5165 
   00122    0.4088   -5426.4456  0.5097 
   00123    0.4138   -5381.1720  0.5011 
   00124    0.4300   -5368.5563  0.5103 
   00125    0.4213   -5348.7220  0.5104 
   00126    0.4387   -5355.9638  0.5070 
   00127    0.4238   -5369.8377  0.5116 
   00128    0.4306   -5373.6614  0.5106 
   00129    0.4025   -5350.1509  0.5110 
   00130    0.4225   -5348.0110  0.5066 
   00131    0.4088   -5375.2114  0.5087 
   00132    0.4225   -5377.0568  0.5087 
   00133    0.4125   -5428.1900  0.5062 
   00134    0.4000   -5403.9636  0.5156 
   00135    0.4056   -5429.9817  0.5164 
   00136    0.4100   -5403.7621  0.5087 
   00137    0.4156   -5361.8710  0.5097 
   00138    0.4006   -5366.2667  0.5119 
   00139    0.3994   -5352.3766  0.5091 
   00140    0.4175   -5339.0353  0.5128 
   00141    0.4106   -5349.4008  0.5121 
   00142    0.4131   -5373.2230  0.5118 
   00143    0.3994   -5346.3085  0.5149 
   00144    0.4456   -5363.5402  0.5104 
   00145    0.4056   -5364.7068  0.5156 
   00146    0.4437   -5320.5327  0.5128 
   00147    0.4213   -5342.6926  0.5136 
   00148    0.4144   -5353.2914  0.5101 
   00149    0.4356   -5335.2266  0.5106 
   00150    0.3950   -5314.6356  0.5161 
   00151    0.4156   -5347.3102  0.5135 
   00152    0.4313   -5333.2642  0.5197 
   00153    0.4256   -5367.8151  0.5242 
   00154    0.4062   -5373.3404  0.5169 
   00155    0.4200   -5381.4978  0.5122 
   00156    0.4319   -5373.5446  0.5183 
   00157    0.4138   -5367.1450  0.5188 
   00158    0.4213   -5327.9069  0.5239 
   00159    0.4012   -5348.3289  0.5201 
   00160    0.4131   -5361.3252  0.5172 
   00161    0.4225   -5371.9674  0.5192 
   00162    0.4106   -5378.7198  0.5177 
   00163    0.4075   -5379.5180  0.5170 
   00164    0.4475   -5391.6088  0.5201 
   00165    0.4037   -5411.4451  0.5277 
   00166    0.4031   -5431.4785  0.5360 
   00167    0.4012   -5403.7534  0.5390 
   00168    0.4238   -5349.7413  0.5457 
   00169    0.4244   -5405.9188  0.5502 
   00170    0.4356   -5422.8895  0.5525 
   00171    0.4131   -5410.8107  0.5540 
   00172    0.4188   -5401.5331  0.5561 
   00173    0.4219   -5351.8615  0.5525 
   00174    0.4206   -5338.2678  0.5529 
   00175    0.4062   -5376.6550  0.5597 
   00176    0.3925   -5404.1863  0.5623 
   00177    0.4263   -5387.2935  0.5644 
   00178    0.4069   -5409.4762  0.5602 
   00179    0.4188   -5411.3441  0.5647 
