#=====================================================
# File created:        Tue-25-Feb-2025-at-08-50-51PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.249489
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -355.6666  0.2669 
   00001    0.6775    -561.3264  0.2939 
   00002    0.6275    -689.3198  0.2684 
   00003    0.5775    -782.8231  0.2571 
   00004    0.5700    -838.5936  0.3089 
   00005    0.5325    -916.2340  0.3339 
   00006    0.5200    -962.5785  0.3232 
   00007    0.5225   -1042.7752  0.3203 
   00008    0.4875   -1088.1259  0.3204 
   00009    0.5050   -1140.8011  0.3649 
   00010    0.4550   -1161.3674  0.3562 
   00011    0.4900   -1164.1430  0.3550 
   00012    0.4600   -1174.6561  0.3659 
   00013    0.4625   -1192.8139  0.3794 
   00014    0.4500   -1205.8753  0.3748 
   00015    0.4725   -1235.6419  0.3796 
   00016    0.4825   -1227.7639  0.3905 
   00017    0.4400   -1214.9725  0.3896 
   00018    0.4500   -1233.9910  0.4031 
   00019    0.4550   -1235.5986  0.4015 
   00020    0.4500   -1268.0647  0.3831 
   00021    0.4100   -1232.8379  0.3728 
   00022    0.4350   -1236.9687  0.3562 
   00023    0.4150   -1230.7084  0.3778 
   00024    0.4250   -1240.5622  0.3937 
   00025    0.4250   -1242.1424  0.3901 
   00026    0.4275   -1263.5416  0.3747 
   00027    0.4625   -1281.6781  0.3687 
   00028    0.3900   -1298.6044  0.3714 
   00029    0.4250   -1288.8085  0.3677 
   00030    0.4425   -1275.2744  0.3648 
   00031    0.4425   -1286.9428  0.3781 
   00032    0.4050   -1293.7484  0.3843 
   00033    0.4825   -1288.4176  0.3683 
   00034    0.4625   -1304.3773  0.3726 
   00035    0.4175   -1302.3766  0.3883 
   00036    0.3900   -1293.0285  0.3921 
   00037    0.4375   -1276.0665  0.3870 
   00038    0.4575   -1287.2261  0.3835 
   00039    0.4575   -1289.6051  0.3832 
   00040    0.3900   -1292.0677  0.3928 
   00041    0.4100   -1309.7167  0.4129 
   00042    0.4350   -1307.7293  0.3999 
   00043    0.4175   -1318.5719  0.4034 
   00044    0.4725   -1337.5422  0.4012 
   00045    0.3900   -1315.9029  0.3969 
   00046    0.4725   -1329.4743  0.4120 
   00047    0.3975   -1304.2926  0.4155 
   00048    0.4350   -1313.1536  0.4193 
   00049    0.4150   -1317.0150  0.4492 
   00050    0.4175   -1319.5903  0.4547 
