#=====================================================
# File created:        Wed-26-Feb-2025-at-04-23-28AM
# Size of lattice:     10x10
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.090779
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -90.3463  0.3189 
   00001    0.7600    -137.4200  0.3162 
   00002    0.7200    -168.4767  0.3816 
   00003    0.5600    -198.2240  0.4381 
   00004    0.6000    -215.6587  0.3928 
   00005    0.5600    -239.9957  0.4084 
   00006    0.5800    -256.8725  0.4037 
   00007    0.5500    -268.7442  0.3716 
   00008    0.5000    -277.5864  0.4224 
   00009    0.4000    -281.7795  0.4606 
   00010    0.4900    -277.6625  0.4519 
   00011    0.4600    -282.0092  0.4804 
   00012    0.3600    -293.4869  0.5082 
   00013    0.4300    -307.1137  0.5010 
   00014    0.4700    -307.0517  0.5113 
   00015    0.4600    -308.3218  0.4575 
   00016    0.4000    -312.6862  0.4941 
   00017    0.4600    -308.8185  0.5078 
   00018    0.3700    -304.8859  0.4923 
   00019    0.4200    -310.1633  0.5093 
   00020    0.4900    -301.3620  0.4920 
   00021    0.4500    -300.9783  0.5318 
   00022    0.5600    -308.1521  0.5576 
   00023    0.4600    -310.9468  0.5952 
   00024    0.4200    -327.3156  0.5992 
   00025    0.3500    -334.0785  0.6129 
   00026    0.3700    -330.6292  0.6128 
   00027    0.4200    -320.5270  0.6347 
   00028    0.3700    -313.7964  0.6192 
   00029    0.4300    -312.8417  0.6101 
   00030    0.4200    -308.4737  0.5808 
   00031    0.3400    -312.7539  0.5979 
   00032    0.4200    -311.7020  0.5765 
   00033    0.4600    -310.1451  0.5676 
   00034    0.5000    -316.1260  0.5745 
   00035    0.4600    -312.1441  0.5679 
   00036    0.4700    -316.2034  0.5693 
   00037    0.5000    -309.5084  0.5630 
   00038    0.4300    -312.4848  0.5859 
   00039    0.4800    -317.9416  0.5958 
   00040    0.4600    -318.4159  0.5741 
   00041    0.3400    -313.0464  0.5939 
   00042    0.3900    -312.5809  0.5964 
   00043    0.4800    -306.9652  0.5947 
   00044    0.4900    -308.2901  0.5795 
   00045    0.4300    -309.5654  0.6273 
   00046    0.4800    -316.0941  0.6870 
   00047    0.4200    -316.8400  0.6957 
   00048    0.4200    -315.8612  0.6905 
   00049    0.4400    -311.4764  0.6771 
   00050    0.4300    -317.9718  0.6984 
   00051    0.4100    -319.8545  0.6986 
   00052    0.4000    -325.3225  0.6863 
   00053    0.3900    -324.7107  0.6557 
   00054    0.4100    -323.1027  0.6545 
   00055    0.4300    -327.4816  0.6666 
   00056    0.4600    -328.5256  0.6708 
   00057    0.4600    -325.3551  0.6474 
   00058    0.4400    -315.6309  0.6218 
   00059    0.4600    -320.1780  0.6501 
   00060    0.4200    -316.4349  0.6517 
   00061    0.4200    -317.5107  0.6837 
   00062    0.4100    -322.1343  0.7319 
   00063    0.4200    -313.2803  0.7103 
   00064    0.5100    -306.6460  0.6531 
   00065    0.3900    -310.1345  0.6511 
   00066    0.4200    -333.6896  0.6911 
   00067    0.4800    -320.8057  0.6736 
