#=====================================================
# File created:        Mon-24-Feb-2025-at-02-57-18AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        15.106874
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2446.4010  0.2677 
   00001    0.7000   -3860.5133  0.2672 
   00002    0.6208   -4728.1187  0.2602 
   00003    0.5732   -5325.0012  0.2538 
   00004    0.5464   -5783.0715  0.2660 
   00005    0.5284   -6118.0393  0.2593 
   00006    0.5048   -6452.2497  0.2677 
   00007    0.5124   -6634.7160  0.2614 
   00008    0.4948   -6785.8645  0.2545 
   00009    0.4976   -6955.3123  0.2609 
   00010    0.4960   -7067.1229  0.2579 
   00011    0.4528   -7184.5648  0.2646 
   00012    0.4588   -7297.5913  0.2676 
   00013    0.4596   -7380.5421  0.2654 
   00014    0.4560   -7394.5685  0.2696 
   00015    0.4524   -7508.3971  0.2704 
   00016    0.4500   -7573.0401  0.2699 
   00017    0.4564   -7645.2357  0.2750 
   00018    0.4200   -7704.4845  0.2698 
   00019    0.4288   -7713.1753  0.2748 
   00020    0.4372   -7757.6656  0.2686 
   00021    0.4340   -7815.6070  0.2796 
   00022    0.4420   -7811.1580  0.2854 
   00023    0.4396   -7859.2461  0.2879 
   00024    0.4368   -7922.2041  0.2904 
   00025    0.4380   -7874.8167  0.2869 
   00026    0.4352   -7886.2003  0.2924 
   00027    0.4412   -7889.2577  0.2810 
   00028    0.4464   -7902.9009  0.2815 
   00029    0.4380   -7947.8499  0.2787 
   00030    0.4336   -7895.4734  0.2735 
   00031    0.4356   -7918.5066  0.2737 
   00032    0.4148   -7958.4337  0.2833 
   00033    0.4340   -8012.0235  0.2858 
   00034    0.4196   -8031.7505  0.2866 
   00035    0.4376   -8025.8830  0.2852 
   00036    0.4320   -8050.3483  0.2890 
   00037    0.4272   -8088.2792  0.2952 
   00038    0.4236   -8147.5133  0.3057 
   00039    0.4396   -8148.5659  0.3089 
   00040    0.4152   -8122.8112  0.3123 
   00041    0.4244   -8106.0116  0.3123 
   00042    0.4424   -8160.4224  0.3182 
   00043    0.4180   -8146.5489  0.3077 
   00044    0.4312   -8180.7720  0.3168 
   00045    0.4224   -8172.0817  0.3186 
   00046    0.4316   -8187.0770  0.3246 
   00047    0.4152   -8226.9148  0.3343 
   00048    0.4352   -8216.0179  0.3344 
   00049    0.4208   -8239.8462  0.3350 
   00050    0.4192   -8240.6683  0.3418 
   00051    0.4344   -8274.0726  0.3330 
   00052    0.4152   -8312.1819  0.3412 
   00053    0.4236   -8312.3712  0.3455 
   00054    0.4084   -8326.0104  0.3519 
   00055    0.4184   -8269.9923  0.3546 
   00056    0.4224   -8247.7868  0.3533 
   00057    0.4304   -8292.5396  0.3519 
   00058    0.4144   -8280.7121  0.3539 
   00059    0.4296   -8298.4952  0.3606 
   00060    0.4072   -8313.9623  0.3627 
   00061    0.4236   -8281.0699  0.3631 
   00062    0.4272   -8286.9147  0.3617 
   00063    0.4008   -8311.0320  0.3551 
   00064    0.4232   -8324.6365  0.3560 
   00065    0.4100   -8327.1458  0.3559 
   00066    0.4236   -8306.1694  0.3626 
   00067    0.4388   -8280.1463  0.3620 
   00068    0.4168   -8312.6800  0.3641 
   00069    0.4076   -8246.7847  0.3659 
   00070    0.4192   -8270.9814  0.3577 
   00071    0.4264   -8275.5203  0.3674 
   00072    0.4104   -8266.2851  0.3657 
   00073    0.4312   -8281.6295  0.3582 
   00074    0.4240   -8274.5231  0.3571 
   00075    0.4244   -8344.2785  0.3562 
   00076    0.4080   -8339.4420  0.3640 
   00077    0.4064   -8309.3921  0.3554 
   00078    0.3992   -8387.5055  0.3599 
   00079    0.4192   -8387.4797  0.3602 
   00080    0.4176   -8340.2695  0.3642 
   00081    0.4104   -8299.8548  0.3631 
   00082    0.4300   -8311.5454  0.3603 
   00083    0.4132   -8309.8997  0.3638 
   00084    0.4120   -8310.9086  0.3658 
   00085    0.4048   -8311.4875  0.3607 
   00086    0.4208   -8339.9870  0.3638 
   00087    0.4192   -8305.2107  0.3651 
   00088    0.3988   -8330.1119  0.3593 
   00089    0.4164   -8345.6913  0.3631 
   00090    0.4332   -8340.9848  0.3603 
   00091    0.4176   -8300.9946  0.3631 
   00092    0.4180   -8288.5981  0.3664 
   00093    0.4108   -8244.4200  0.3719 
   00094    0.4264   -8203.5528  0.3712 
   00095    0.4364   -8256.6297  0.3755 
   00096    0.4400   -8250.8502  0.3739 
   00097    0.4160   -8237.8587  0.3800 
   00098    0.4284   -8333.7519  0.3809 
   00099    0.4084   -8347.2757  0.3895 
   00100    0.4036   -8364.7104  0.3796 
   00101    0.4096   -8400.5248  0.3789 
   00102    0.4016   -8410.2854  0.3738 
   00103    0.4220   -8395.4425  0.3770 
   00104    0.4144   -8449.4014  0.3721 
   00105    0.4144   -8410.3476  0.3769 
   00106    0.4144   -8378.4632  0.3748 
   00107    0.4140   -8380.7814  0.3685 
   00108    0.4124   -8428.2008  0.3753 
   00109    0.4084   -8422.1970  0.3817 
   00110    0.4212   -8417.8806  0.3809 
   00111    0.4092   -8410.2743  0.3787 
   00112    0.4172   -8418.9611  0.3819 
   00113    0.4096   -8423.7050  0.3748 
   00114    0.3996   -8454.5344  0.3824 
   00115    0.4164   -8479.0094  0.3775 
   00116    0.4232   -8456.4046  0.3783 
   00117    0.4124   -8432.5482  0.3791 
   00118    0.4188   -8421.3095  0.3796 
   00119    0.3996   -8341.6248  0.3770 
   00120    0.4108   -8334.1109  0.3832 
   00121    0.4080   -8330.9493  0.3849 
   00122    0.4152   -8372.6913  0.3788 
   00123    0.4212   -8366.3098  0.3848 
   00124    0.4372   -8409.3455  0.3843 
   00125    0.4236   -8393.3692  0.3824 
   00126    0.4192   -8431.1802  0.3836 
   00127    0.4212   -8412.5141  0.3753 
   00128    0.4124   -8422.0952  0.3792 
   00129    0.4204   -8426.2589  0.3901 
   00130    0.4332   -8414.9457  0.3866 
   00131    0.4264   -8396.0586  0.3728 
   00132    0.4236   -8349.0210  0.3671 
   00133    0.4244   -8364.9573  0.3668 
   00134    0.4072   -8389.3575  0.3607 
   00135    0.4192   -8376.0926  0.3651 
   00136    0.4228   -8400.7900  0.3690 
   00137    0.4216   -8402.8565  0.3645 
   00138    0.4204   -8414.8906  0.3644 
   00139    0.4076   -8423.9705  0.3702 
   00140    0.4036   -8434.2819  0.3706 
   00141    0.4260   -8391.3110  0.3638 
   00142    0.4152   -8346.3096  0.3632 
   00143    0.4084   -8355.6104  0.3660 
   00144    0.4212   -8350.8163  0.3671 
   00145    0.4148   -8405.0749  0.3640 
   00146    0.4108   -8416.7534  0.3582 
   00147    0.4260   -8428.4792  0.3536 
   00148    0.4136   -8477.2217  0.3695 
   00149    0.4124   -8467.4435  0.3679 
   00150    0.4036   -8414.1263  0.3631 
   00151    0.4080   -8388.9028  0.3663 
   00152    0.4088   -8339.5069  0.3622 
   00153    0.4196   -8362.9878  0.3617 
   00154    0.4080   -8395.5454  0.3666 
   00155    0.4220   -8411.3880  0.3619 
   00156    0.4020   -8433.5177  0.3590 
   00157    0.4196   -8448.1949  0.3615 
   00158    0.3984   -8443.7894  0.3520 
   00159    0.4260   -8445.7968  0.3548 
