#=====================================================
# File created:        Tue-25-Feb-2025-at-08-50-21PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.271707
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -402.5834  0.3077 
   00001    0.6550    -590.0738  0.3145 
   00002    0.6150    -720.8133  0.3296 
   00003    0.5775    -807.3210  0.3356 
   00004    0.5750    -897.8237  0.3747 
   00005    0.5350    -942.8135  0.3957 
   00006    0.4950   -1004.6556  0.4065 
   00007    0.5100   -1036.7054  0.4245 
   00008    0.4800   -1090.7620  0.4263 
   00009    0.4900   -1099.5098  0.4240 
   00010    0.4525   -1132.2812  0.4114 
   00011    0.4600   -1149.4240  0.4102 
   00012    0.4725   -1159.2200  0.4105 
   00013    0.4225   -1162.0879  0.4136 
   00014    0.5200   -1166.3749  0.4046 
   00015    0.4500   -1169.9589  0.3992 
   00016    0.4400   -1181.2648  0.4069 
   00017    0.4250   -1188.4472  0.4045 
   00018    0.4275   -1217.6688  0.4067 
   00019    0.4075   -1219.0951  0.3977 
   00020    0.4200   -1209.8325  0.3900 
   00021    0.4700   -1209.4294  0.3564 
   00022    0.4575   -1207.3840  0.3617 
   00023    0.4675   -1209.8904  0.3890 
   00024    0.4400   -1212.1150  0.3897 
   00025    0.4650   -1227.5610  0.3907 
   00026    0.4150   -1231.5096  0.3858 
   00027    0.4350   -1233.6155  0.3965 
   00028    0.4400   -1235.9603  0.3967 
   00029    0.4550   -1226.6049  0.4074 
   00030    0.4600   -1205.6504  0.3976 
   00031    0.4850   -1214.8124  0.4052 
   00032    0.4775   -1237.3575  0.3920 
   00033    0.4775   -1246.4123  0.4001 
   00034    0.4425   -1241.9429  0.3847 
   00035    0.4325   -1233.1849  0.3938 
   00036    0.4200   -1252.3153  0.4069 
   00037    0.4675   -1254.7626  0.4199 
   00038    0.4675   -1242.1670  0.4271 
   00039    0.4825   -1239.5514  0.4158 
   00040    0.4525   -1241.7624  0.4010 
   00041    0.4325   -1247.0567  0.4096 
   00042    0.3925   -1259.3683  0.4135 
   00043    0.4025   -1244.5969  0.4283 
   00044    0.4125   -1239.6838  0.4028 
   00045    0.4575   -1265.9884  0.4286 
   00046    0.4275   -1254.6488  0.3943 
   00047    0.3975   -1267.0418  0.4038 
   00048    0.4350   -1275.4953  0.3873 
   00049    0.3700   -1267.9279  0.3887 
   00050    0.4900   -1259.1014  0.3860 
